PracNo,PracticeName,Address1,Address2,Address3,Postcode,LCG,Registered Patients
1.0,DR. D IRWIN,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,1337.0
3.0,DR A MCCUTCHEON AND PARTNERS,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVE,BELFAST,BT4 1NS,Belfast,7140.0
5.0,DR E M CHRISTIE AND PARTNER,CASTLE MEDICAL CENTRE,35-45 CASTLEREAGH ROAD,BELFAST,BT5 5FB,Belfast,1508.0
6.0,Dr Browne & Partners,CARRYDUFF SURGERY,HILLSBOROUGH ROAD,CARRYDUFF  BELFAST,BT8 8HR,Belfast,10794.0
10.0,Dr Wilson,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,2576.0
13.0,Drs Darragh & Coogan,TEMPLEMORE MEDICAL CENTRE,225 ALBERTBRIDGE ROAD,BELFAST,BT5 4PX,Belfast,3327.0
14.0,Dr Coulter & Partners,KERRSLAND SURGERY,169 UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3HZ,Belfast,7795.0
15.0,Dr Gardner & Partners,54 HOLYWOOD ROAD,BELFAST,,BT4 1NT,Belfast,5494.0
16.0,Dr Dunlop Halliday & Ross,KNOCK MEDICAL CENTRE,423B UPPER NEWTOWNARDS ROAD,BELFAST,BT4 3LH,Belfast,5559.0
17.0,Dr Mercer & Partners,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,5442.0
18.0,Dr Hunter & Partners,BRIDGES FAMILY PRACTICE,2-6 BRYSON STREET,BELFAST,BT5 4ES,Belfast,6708.0
19.0,Drs Burke & Holmes,LINEN COURT SURGERY,336 BEERSBRIDGE ROAD,BELFAST,BT5 5DY,Belfast,3551.0
20.0,Drs Kyle & Courtney,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,2987.0
23.0,Dr Bell & Partners,HARLAND MEDICAL PRACTICE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,5195.0
24.0,Dr H McKee,THE MOUNT PRACTICE,50 CASTLEREAGH STREET,BELFAST,BT5 4NH,Belfast,3044.0
28.0,Drs Gilmer & Craig,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,3335.0
29.0,Drs Savage & McKinstry,CASTLEREAGH MEDICAL CENTRE,21 BALLYGOWAN  ROAD,BELFAST,BT5 7LH,Belfast,4974.0
30.0,Drs Baird & Stevens,EASTSIDE SURGERY,56 TEMPLEMORE AVENUE,BELFAST,BT5 4FT,Belfast,2922.0
31.0,Dr Callaghan & Partners,DUNDONALD MEDICAL CENTRE,16 CHURCH ROAD,"DUNDONALD, BELFAST",BT16 2LN,Belfast,7131.0
32.0,Dr McIlmoyle & Partners,WILLOWFIELD SURGERY,50/52 CASTLEREAGH ROAD,BELFAST,BT5 5FP,Belfast,3851.0
33.0,DR. RL MILLER AND PARTNERS,222 WOODSTOCK ROAD,BELFAST,,BT6 9DL,Belfast,4530.0
36.0,Dr McComb,HOLYWOOD ARCHES HEALTH CENTRE,WESTMINSTER AVENUE,BELFAST,BT4 1NS,Belfast,1885.0
37.0,Dr. MONCRIEFF & PARTNERS            ,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,6661.0
38.0,Dr Morrison,CHERRYVALLEY HEALTH CENTRE,KINGS SQUARE,BELFAST,BT5 7BP,Belfast,2005.0
