Indicator Name,Age Group,County,Provider,Eligible Population,Number With QI Flag,Rate High?
2AP,18+,Saint Lawrence,MASSENA MEMORIAL HOSPITAL,59,2,NO
2AP,18+,Oswego,NORTHERN OSWEGO CNTY HLTH SVC,107,4,
3AP,18+,Warren,GLENS FALLS HOSPITAL,242,0,
2AP,18+,Saratoga,County,591,56,
3AP,18+,Herkimer,County,279,0,
3AP,18+,Yates,RUSHVILLE HEALTH CENTER INC,63,0,
3AP,18+,Franklin,ALICE HYDE MEDICAL CENTER,115,0,
2AP,0-17,Rensselaer,County,161,6,
2AP,0-17,Oswego,County,105,0,
2AP,0-17,Saratoga,County,278,8,
2AP,18+,Manhattan,KINGSBORO PSYCHIATRIC CENTER,59,19,
2AP,18+,Onondaga,County,2595,263,
3AP,18+,Queens,VISITING NURSE SERVICE OF NEW YORK,47,0,NO
3AP,18+,Franklin,County,382,0,
2AP,0-17,Queens,"LIFELINE CENTER FOR CHILD DEVELOPMENT, INC.",31,1,NO
2AP,0-17,Wayne,County,111,4,
2AP,18+,Queens,County,67,11,
2AP,18+,Saint Lawrence,County,561,43,
2AP,18+,Orange,County,1422,176,
2AP,18+,Saratoga,County,603,56,
2AP,18+,Brooklyn,"THE GUIDANCE CENTER OF BROOKLYN, INC.",92,13,NO
3AP,18+,Albany,County,4798,22,
2AP,18+,Sullivan,County,430,52,
2AP,18+,Brooklyn,NYC-HHC CONEY ISLAND HOSPITAL,572,66,
3AP,18+,Manhattan,PREMIER HEALTHCARE D & T CTR,423,6,NO
2AP,18+,Erie,BERTRAND CHAFFEE HOSPITAL,41,6,NO
3AP,18+,Niagara,County,1194,4,
2AP,18+,Region,Region,18,3,
2AP,0-17,Staten Island,County,169,10,
3AP,18+,Schenectady,VISITING NURS SVC/SCHTD & SAR CNTY,200,2,
2AP,18+,Oswego,County,387,34,
3AP,18+,Warren,County,781,1,
2AP,18+,Putnam,County,258,26,
3AP,18+,Essex,County,131,0,
3AP,0-17,Westchester,"WESTCHESTER JEWISH COMMUNITY SERVICES, INC.",98,0,NO
3AP,18+,Brooklyn,"RESOURCE BEACON OF HOPE, LLC",22,0,
3AP,18+,Manhattan,MENTAL HEALTH ASSOCIATION OF NYC,62,0,
2AP,18+,Erie,ELMWOOD HEALTH CENTER,72,11,
3AP,18+,Onondaga,County,889,7,
3AP,18+,Schenectady,County,1574,3,
2AP,0-17,Tioga,County,16,1,
3AP,0-17,Oneida,"THE NEIGHBORHOOD CENTER, INC.",142,0,NO
3AP,18+,Staten Island,County,1480,10,
2AP,18+,Oneida,County,1593,141,
2AP,0-17,Chemung,ST. JOSEPH'S HOSPITAL,38,2,
3AP,0-17,Saint Lawrence,OMH STATE PC NETWORK,39,0,
2AP,18+,Bronx,NEW YORK NEURO AND REHAB CTR,187,16,
2AP,0-17,Franklin,"CITIZEN ADVOCATES, INC. DBA NORTH STAR INDUST",43,3,NO
2AP,18+,Rockland,"MENTAL HEALTH ASSOCIATION OF ROCKLAND COUNTY,",59,12,
2AP,18+,Suffolk,NEW YORK FLUSHING HOSPITAL AND MEDICAL CENTER,31,3,
3AP,18+,Livingston,COUNCIL ALCOHOL SUB ABUSE LIVINGSTN,23,0,NO
2AP,0-17,Oneida,ST. ELIZABETH MEDICAL CENTER,81,2,
2AP,18+,Queens,County,10032,1287,
2AP,18+,Queens,"NEW HORIZON COUNSELING CENTER, INC., THE",988,146,
2AP,18+,Niagara,County,113,19,
3AP,18+,Manhattan,PALLADIA INC,54,1,NO
2AP,18+,Orleans,County,114,10,
2AP,18+,Region,Region,14413,1699,
2AP,0-17,Oswego,County,83,0,
2AP,18+,Livingston,LIVINGSTON COUNTY MENTAL HEALTH SERVICES,38,1,
2AP,0-17,Schoharie,County,30,0,
3AP,18+,Niagara,County,113,3,
3AP,18+,Queens,OMH STATE PC NETWORK,152,2,
2AP,18+,Columbia,County,221,22,
2AP,18+,Manhattan,THE NEW YORK AND PRESBYTERIAN HOSPITAL,3119,272,
3AP,18+,Schenectady,VISITING NURS SVC/SCHTD & SAR CNTY,109,0,
2AP,18+,Suffolk,"SEAFIELD SERVICES, INC.",192,8,
3AP,18+,Cortland,County,239,0,
3AP,18+,Sullivan,COORDINATED BEHAVIORAL HEALTH SERVICES IPA,133,2,
2AP,0-17,Bronx,MORRIS HEIGHTS HEALTH CENTER,67,1,
2AP,18+,Bronx,"COMUNILIFE, INC.",23,0,
2AP,18+,Ulster,County,282,34,
2AP,18+,Erie,VNA OF WESTERN NY INC,55,5,NO
3AP,18+,Manhattan,"METROPOLITAN CENTER FOR MENTAL HEALTH, INC.",78,0,
3AP,18+,Sullivan,County,430,1,
2AP,0-17,Erie,County,556,24,
3AP,18+,Sullivan,County,1822,8,
3AP,18+,Erie,"BRYLIN HOSPITALS, INC.",56,1,
3AP,18+,Erie,"LAKE SHORE BEHAVIORAL HEALTH, INC.",630,6,
3AP,18+,Brooklyn,LUTHERAN MEDICAL CENTER,771,2,NO
2AP,18+,Ontario,County,77,6,
2AP,18+,Seneca,County,121,11,
2AP,18+,Westchester,MT VERNON NEIGHBORHOOD HC INC,59,2,
3AP,18+,Bronx,LINCOLN MED MENTAL HLTH CTR AI,24,1,
3AP,0-17,Oneida,CENTRAL NEW YORK HEALTH HOME NETWOR,35,0,
2AP,0-17,Seneca,SENECA COUNTY MENTAL HEALTH SERVICES,27,1,NO
2AP,18+,Orleans,County,100,6,
2AP,18+,Steuben,ST JAMES MERCY HOSPITAL,60,10,NO
3AP,18+,Manhattan,JEWISH BOARD OF FAMILY & CHILDREN'S SERVICES,864,4,
2AP,18+,Erie,KALEIDA HEALTH D/B/A BUFFALO GENERAL HOSPITAL,275,28,NO
3AP,18+,Manhattan,County,22463,80,
2AP,0-17,Washington,WARREN-WASHINGTON ASSOCIATION FOR MENTAL HEAL,35,0,
2AP,0-17,Tioga,County,9,0,
3AP,18+,Seneca,County,131,3,
2AP,0-17,Rockland,County,139,5,
2AP,18+,Manhattan,County,25262,2645,
2AP,0-17,Warren,County,260,9,
3AP,18+,Yates,SOLDIERS & SAILORS MEMORIAL HOSPITAL,41,1,NO
3AP,18+,Cattaraugus,"CATTARAUGUS REHABILITATION CENTER, INC.",51,0,NO
3AP,18+,Hamilton,County,6,0,
2AP,0-17,Yates,ELMIRA PSYCHIATRIC CENTER,32,0,NO
3AP,18+,Schenectady,County,1628,2,
2AP,18+,Washington,County,129,7,
2AP,18+,Schuyler,County,73,8,
2AP,0-17,Allegany,"ALLEGANY REHABILITATION ASSOCIATES, INC.",21,0,NO
3AP,18+,Manhattan,"CAMBA, INC.",51,0,
2AP,0-17,Brooklyn,County,999,42,
2AP,18+,Brooklyn,"COMMUNITY HEALTHCARE NETWORK, INC.",105,9,
3AP,18+,Dutchess,HUDSON VALLEY ENDOSCOPIC CTR,27,0,NO
3AP,18+,Manhattan,"CATHOLIC CHARITIES NEIGHBORHOOD SERVICES, INC",213,0,NO
2AP,18+,Onondaga,HUTCHINGS PSYCHIATRIC CENTER,244,63,YES
2AP,18+,Brooklyn,County,2426,440,
3AP,0-17,Ulster,COORDINATED BEHAVIORAL HEALTH SERVICES IPA,237,0,
3AP,18+,Erie,"BRYLIN HOSPITALS, INC.",38,0,
2AP,18+,Bronx,County,14027,1353,
2AP,18+,Brooklyn,County,11912,1300,
2AP,18+,Rensselaer,County,484,54,
3AP,18+,Washington,County,67,0,
2AP,18+,Brooklyn,County,11912,1300,
3AP,18+,Rensselaer,County,1,0,
2AP,0-17,Nassau,ADVANTAGE CARE D AND T CTR,57,3,
2AP,18+,Dutchess,ASONE HEALTH CARE IPA,28,1,
2AP,18+,Saratoga,County,591,56,
2AP,18+,Allegany,"ALLEGANY REHABILITATION ASSOCIATES, INC.",102,9,NO
3AP,0-17,Manhattan,NYC-HHC ELMHURST HOSPITAL CENTER,38,0,NO
2AP,18+,Brooklyn,STATEN ISLAND UNIVERSITY HOSPITAL,70,7,NO
2AP,0-17,Genesee,County,53,0,
3AP,0-17,Westchester,HUDSON RIVER HEALTH CARE,58,0,NO
2AP,18+,Queens,NORTH SHORE UN HSP FOREST HIL,147,13,NO
2AP,18+,Staten Island,ST. JOSEPH'S MEDICAL CENTER,51,22,
2AP,18+,Allegany,County,190,12,
2AP,18+,Rockland,County,1045,182,
3AP,18+,Queens,"QUEENS COORDINATED CARE PARTNERS, LLC",246,2,NO
2AP,18+,Nassau,County,5314,581,
2AP,18+,Sullivan,County,1821,230,
2AP,18+,Rockland,OMH STATE PC NETWORK,126,50,
3AP,0-17,Genesee,GENESEE COUNTY MENTAL HEALTH SERVICES,22,0,
2AP,18+,Greene,County,269,22,
2AP,18+,Columbia,County,222,26,
2AP,18+,Broome,County,1089,84,
2AP,18+,Orange,County,833,129,YES
2AP,0-17,Erie,WOMEN AND CHILDREN'S HOSPITAL OF BUFFALO,66,4,
3AP,18+,Manhattan,EXPONENTS INC,24,0,NO
3AP,0-17,Albany,SETON HEALTH SYSTEM,21,0,
2AP,0-17,Otsego,OTSEGO COUNTY COMMUNITY SERVICES BOARD,41,0,
2AP,18+,Bronx,County,14559,1472,
