Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11,Unnamed: 12
Stockport MBC,Services to People,Adult Social Care,MARTIN'S BRUSSELS EU,Expenses and Allowances,Human Resources Travel & Subsistence ,27.03.2018,16.04.2018,GPC03180000001,116.48,,,
Stockport MBC,Services to People,Adult Social Care,NEW CORICA,Expenses and Allowances,Human Resources Travel & Subsistence ,27.03.2018,16.04.2018,GPC03180000002,2.72,,,
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,27.03.2018,16.04.2018,GPC03180000003,8.16,,,
Stockport MBC,Services to People,Adult Social Care,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,26.03.2018,16.04.2018,GPC03180000004,6.20,,,
Stockport MBC,Services to People,Adult Social Care,METRO GARE DE L'OUEST,Travelling Expenses,Human Resources Travel & Subsistence ,26.03.2018,16.04.2018,GPC03180000005,4.06,,,
Stockport MBC,Services to People,Adult Social Care,INVICTUS HOTEL SRL,Expenses and Allowances,Human Resources Travel & Subsistence ,22.03.2018,16.04.2018,GPC03180000006,61.28,,,
Stockport MBC,Services to People,Adult Social Care,WWW.ARROWPRIVATEHIRE.C,Travelling Expenses,Human Resources Travel & Subsistence Taxi Fares,23.03.2018,16.04.2018,GPC03180000007,45.05,,,
Stockport MBC,Services to People,Adult Social Care,BRUTO,Expenses and Allowances,Human Resources Travel & Subsistence ,21.03.2018,16.04.2018,GPC03180000008,53.99,,,
Stockport MBC,Services to People,Adult Social Care,AUTOGRILL 7157     500,Expenses and Allowances,Human Resources Travel & Subsistence ,22.03.2018,16.04.2018,GPC03180000009,7.75,,,
Stockport MBC,Services to People,Adult Social Care,ROMA TERMINI SELF SERV,Travelling Expenses,Human Resources Travel & Subsistence ,22.03.2018,16.04.2018,GPC03180000010,25.20,,,
Stockport MBC,Services to People,Adult Social Care,I 3 ARCHI,Expenses and Allowances,Human Resources Travel & Subsistence ,20.03.2018,16.04.2018,GPC03180000011,12.63,,,
Stockport MBC,Services to People,Adult Social Care,LA LOCANDA DI BACCO,Expenses and Allowances,Human Resources Travel & Subsistence ,20.03.2018,16.04.2018,GPC03180000012,52.29,,,
Stockport MBC,Services to People,Adult Social Care,LA LOCANDA DI BACCO,Expenses and Allowances,Human Resources Travel & Subsistence ,18.03.2018,16.04.2018,GPC03180000013,67.16,,,
Stockport MBC,Services to People,Adult Social Care,3 ARCHI            972,Expenses and Allowances,Human Resources Travel & Subsistence ,19.03.2018,16.04.2018,GPC03180000014,12.71,,,
Stockport MBC,Services to People,Adult Social Care,NINA SRL,Expenses and Allowances,Human Resources Travel & Subsistence ,19.03.2018,16.04.2018,GPC03180000015,73.96,,,
