Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£),Unnamed: 10,Unnamed: 11
Stockport MBC,Services to People,Central Support Costs,GO METRO SCHUMANN,Travelling Expenses,Human Resources Travel & Subsistence ,28.02.2018,16.03.2018,GPC02180000001,12.77,,
Stockport MBC,Services to People,Central Support Costs,NH BRUSSELS CITY CENTR,Expenses and Allowances,Human Resources Travel & Subsistence ,27.02.2018,16.03.2018,GPC02180000002,10.89,,
Stockport MBC,Services to People,Central Support Costs,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,27.02.2018,16.03.2018,GPC02180000003,37.79,,
Stockport MBC,Services to People,Central Support Costs,L'ATRO MONDO,Expenses and Allowances,Human Resources Travel & Subsistence ,26.02.2018,16.03.2018,GPC02180000004,24.07,,
Stockport MBC,Services to People,Central Support Costs,GUIDE BRIDGE SST,Travelling Expenses,Human Resources Travel & Subsistence ,25.02.2018,16.03.2018,GPC02180000005,12.90,,
Stockport MBC,Services to People,Central Support Costs,IL GALLO NERO,Expenses and Allowances,Human Resources Travel & Subsistence ,25.02.2018,16.03.2018,GPC02180000006,21.84,,
Stockport MBC,Services to People,Central Support Costs,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,23.02.2018,16.03.2018,GPC02180000007,16.38,,
Stockport MBC,Services to People,Central Support Costs,GO SURFACE BRUSSELS A,Travelling Expenses,Human Resources Travel & Subsistence ,25.02.2018,16.03.2018,GPC02180000008,4.10,,
Stockport MBC,Services to People,Central Support Costs,HADFIELD STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,05.02.2018,16.03.2018,GPC02180000009,8.00,,
Stockport MBC,Corporate and Support Services,Central Services to the public,DOUBLETREE,Expenses and Allowances,Human Resources Travel & Subsistence ,23.02.2018,16.03.2018,GPC02180000010,172.90,,
Stockport MBC,Corporate and Support Services,Central Services to the public,DOUBLETREE,Expenses and Allowances,Human Resources Travel & Subsistence ,23.02.2018,16.03.2018,GPC02180000011,172.90,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK LTXE5FELG2,Publicity and Promotion,Facilities & Management Services  ,28.02.2018,16.03.2018,GPC02180000012,43.25,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK WLRURE2UU2,Publicity and Promotion,Facilities & Management Services  ,28.02.2018,16.03.2018,GPC02180000013,196.61,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK YLRURE2UU2,Publicity and Promotion,Facilities & Management Services  ,28.02.2018,16.03.2018,GPC02180000014,6.15,,
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK CTXE5FELG2,Publicity and Promotion,Facilities & Management Services  ,28.02.2018,16.03.2018,GPC02180000015,421.72,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.02.2018,16.03.2018,GPC02180000016,49.67,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.02.2018,16.03.2018,GPC02180000017,4.35,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.02.2018,16.03.2018,GPC02180000018,20.79,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.02.2018,16.03.2018,GPC02180000019,12.72,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.02.2018,16.03.2018,GPC02180000020,9.84,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.02.2018,16.03.2018,GPC02180000021,25.77,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,09.02.2018,16.03.2018,GPC02180000022,7.53,,
Stockport MBC,Services to People,Childrens & Educational Services,WM MORRISONS,Catering Supplies,Catering Food & Beverages ,11.02.2018,16.03.2018,GPC02180000023,3.04,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.02.2018,16.03.2018,GPC02180000024,16.10,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.02.2018,16.03.2018,GPC02180000025,15.29,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.02.2018,16.03.2018,GPC02180000026,5.10,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.02.2018,16.03.2018,GPC02180000027,29.66,,
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,02.02.2018,16.03.2018,GPC02180000028,12.92,,
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,22.02.2018,16.03.2018,GPC02180000029,2.95,,
Stockport MBC,Services to People,Childrens & Educational Services,Q PARK FIRST STREET A,Travelling Expenses,Human Resources Travel & Subsistence ,02.02.2018,16.03.2018,GPC02180000030,9.80,,
Stockport MBC,Services to People,Childrens & Educational Services,STOCKPORT STN SST,Travelling Expenses,Human Resources Travel & Subsistence ,01.02.2018,16.03.2018,GPC02180000031,3.55,,
Stockport MBC,Services to People,Childrens & Educational Services,WESTMINSTER INSIGHT,Staff Training,Human Resources  ,20.02.2018,16.03.2018,GPC02180000032,285.00,,
Stockport MBC,Services to People,Childrens & Educational Services,EB  THE TDT CAREER PRO,Staff Training,Human Resources  ,09.02.2018,16.03.2018,GPC02180000033,245.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,05.02.2018,16.03.2018,GPC02180000034,24.75,,
Stockport MBC,Services to People,Childrens & Educational Services,WWW.BREATHWORKS-MINDFU,Staff Training,Human Resources  ,01.03.2018,16.03.2018,GPC02180000035,360.00,,
Stockport MBC,Services to People,Childrens & Educational Services,CBA PARALLELS,Information and Communications Technology,Information Communication Technology  ,28.02.2018,16.03.2018,GPC02180000036,34.99,,
Stockport MBC,Services to People,Childrens & Educational Services,CMT UK LTD TAXI FARE,Travelling Expenses,Human Resources Travel & Subsistence ,23.02.2018,16.03.2018,GPC02180000037,11.20,,
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44528260,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2018,16.03.2018,GPC02180000038,268.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TAXI FARE BY VERIFONE,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2018,16.03.2018,GPC02180000039,22.20,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.02.2018,16.03.2018,GPC02180000040,148.40,,
Stockport MBC,Services to People,Childrens & Educational Services,PRINTMYTICKETS.CO.,Printing and Photocopying,Facilities & Management Services Printing ,08.02.2018,16.03.2018,GPC02180000041,87.00,,
Stockport MBC,Services to People,Childrens & Educational Services,FACEBK EHNW4FSSK2,Publicity and Promotion,Facilities & Management Services  ,28.02.2018,16.03.2018,GPC02180000042,103.72,,
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Publicity and Promotion,Facilities & Management Services  ,28.02.2018,16.03.2018,GPC02180000043,500.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,23.02.2018,16.03.2018,GPC02180000044,20.00,,
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Publicity and Promotion,Facilities & Management Services  ,21.02.2018,16.03.2018,GPC02180000045,500.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.02.2018,16.03.2018,GPC02180000046,-10.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,20.02.2018,16.03.2018,GPC02180000047,"1,353.50",,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,19.02.2018,16.03.2018,GPC02180000048,22.35,,
Stockport MBC,Services to People,Childrens & Educational Services,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,16.02.2018,16.03.2018,GPC02180000049,24.42,,
Stockport MBC,Services to People,Childrens & Educational Services,TWITTER ONLINE ADS,Publicity and Promotion,Facilities & Management Services  ,09.02.2018,16.03.2018,GPC02180000050,60.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.02.2018,16.03.2018,GPC02180000051,117.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.02.2018,16.03.2018,GPC02180000052,13.05,,
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Travelling Expenses,Human Resources Travel & Subsistence ,10.02.2018,16.03.2018,GPC02180000053,500.00,,
Stockport MBC,Services to People,Childrens & Educational Services,TWITTER ONLINE ADS,Travelling Expenses,Human Resources Travel & Subsistence ,02.02.2018,16.03.2018,GPC02180000054,20.00,,
Stockport MBC,Services to People,Childrens & Educational Services,PP METROTAXISL,Travelling Expenses,Human Resources Travel & Subsistence ,28.02.2018,16.03.2018,GPC02180000055,13.70,,
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL SST,Travelling Expenses,Human Resources Travel & Subsistence ,27.02.2018,16.03.2018,GPC02180000056,14.70,,
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL SST,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2018,16.03.2018,GPC02180000057,4.10,,
Stockport MBC,Services to People,Childrens & Educational Services,Q PARK PICCADILLY PLAC,Travelling Expenses,Human Resources Travel & Subsistence ,05.02.2018,16.03.2018,GPC02180000058,7.00,,
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,02.02.2018,16.03.2018,GPC02180000059,24.00,,
Stockport MBC,Services to People,Childrens & Educational Services,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,20.02.2018,16.03.2018,GPC02180000060,202.00,,
Stockport MBC,Services to Place,Central Support Costs,NCP MAN LTD - MJV,Travelling Expenses,Human Resources Travel & Subsistence ,13.02.2018,16.03.2018,GPC02180000061,6.50,,
Stockport MBC,Services to Place,Central Support Costs,WEST COAST TRAINS - EN,Travelling Expenses,Human Resources Travel & Subsistence ,02.02.2018,16.03.2018,GPC02180000062,6.10,,
Stockport MBC,Services to People,Childrens & Educational Services,LIGHT CINEMAS LTD,Fees and Charges,Education  ,12.02.2018,16.03.2018,GPC02180000063,27.80,,
Stockport MBC,Services to People,Childrens & Educational Services,SPEEDWELL CAVERN LTD,Fees and Charges,Education  ,08.02.2018,16.03.2018,GPC02180000064,27.05,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,08.02.2018,16.03.2018,GPC02180000065,3.55,,
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,07.02.2018,16.03.2018,GPC02180000066,11.98,,
Stockport MBC,Services to People,Childrens & Educational Services,TESCO DIRECT,Catering Supplies,Catering Food & Beverages ,07.02.2018,16.03.2018,GPC02180000067,34.00,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,06.02.2018,16.03.2018,GPC02180000068,70.02,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,05.02.2018,16.03.2018,GPC02180000069,14.27,,
Stockport MBC,Services to People,Childrens & Educational Services,TVLICENSING.CO.UK,Fees and Charges,Facilities & Management Services  ,13.02.2018,16.03.2018,GPC02180000070,147.00,,
Stockport MBC,Services to People,Childrens & Educational Services,CINEWORLD MAN AT,Fees and Charges,Education  ,14.02.2018,16.03.2018,GPC02180000071,81.00,,
Stockport MBC,Services to People,Childrens & Educational Services,CINEWORLD MAN CP,Fees and Charges,Education  ,14.02.2018,16.03.2018,GPC02180000072,5.40,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,14.02.2018,16.03.2018,GPC02180000073,34.18,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,14.02.2018,16.03.2018,GPC02180000074,1.28,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,13.02.2018,16.03.2018,GPC02180000075,6.56,,
Stockport MBC,Services to People,Childrens & Educational Services,TERRYS FABRIC WARE,Furniture and Equipment,Environmental Services Technical Equipment ,13.02.2018,16.03.2018,GPC02180000076,10.00,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.UKWRISTBANDS.COM,Furniture and Equipment,Environmental Services Technical Equipment ,27.02.2018,16.03.2018,GPC02180000077,73.65,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON UK MARKETPLACE,Information and Communications Technology,Information Communication Technology  ,14.02.2018,16.03.2018,GPC02180000078,49.95,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,AMAZON UK MARKETPLACE,Information and Communications Technology,Information Communication Technology  ,14.02.2018,16.03.2018,GPC02180000079,11.99,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.SHAWS.CO.UK,Office Expenses,Stationery    ,09.02.2018,16.03.2018,GPC02180000080,83.25,,
Stockport MBC,Corporate and Support Services,Central Support Costs,STOCKPORT M B C,Legal Fees,Legal Services  ,27.02.2018,16.03.2018,GPC02180000081,10.00,,
Stockport MBC,Corporate and Support Services,Central Support Costs,CHARTERED INST OF LEGA,Fees and Charges,Financial Services  ,26.02.2018,16.03.2018,GPC02180000082,364.00,,
Stockport MBC,Corporate and Support Services,Corporate & Democratic Core,WWW.PMGLTD.CO.UK,Staff Training,Human Resources  ,16.02.2018,16.03.2018,GPC02180000083,912.00,,
Stockport MBC,Corporate and Support Services,Central Support Costs,MANCHESTER LAW SOCIETY,Staff Training,Human Resources  ,05.02.2018,16.03.2018,GPC02180000084,108.00,,
Stockport MBC,Corporate and Support Services,Central Support Costs,BLOOMSBURY PUBLISH,Library Equipment,Education Library Books ,05.02.2018,16.03.2018,GPC02180000085,122.95,,
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON EU AMAZON.CO.UK,Third party payments - Public Sector,Financial Services Subscriptions ,19.02.2018,16.03.2018,GPC02180000086,19.99,,
Stockport MBC,Services to People,Public Health,FTPE WEBTIS 1,Travelling Expenses,Human Resources Travel & Subsistence ,22.02.2018,16.03.2018,GPC02180000087,23.40,,
Stockport MBC,Services to People,Public Health,FTPE WEBTIS 1,Travelling Expenses,Human Resources Travel & Subsistence ,21.02.2018,16.03.2018,GPC02180000088,23.40,,
Stockport MBC,Services to People,Public Health,WWW.THE-BEADSHOP.UK,Office Expenses,Stationery    ,15.02.2018,16.03.2018,GPC02180000089,-10.72,,
Stockport MBC,Services to People,Public Health,WWW.THE-BEADSHOP.UK,Office Expenses,Stationery    ,12.02.2018,16.03.2018,GPC02180000090,189.02,,
Stockport MBC,Services to People,Childrens & Educational Services,BOOKERECOMM,Catering Supplies,Catering Food & Beverages ,10.02.2018,16.03.2018,GPC02180000091,3.39,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,01.03.2018,16.03.2018,GPC02180000092,39.42,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,16.02.2018,16.03.2018,GPC02180000093,60.73,,
Stockport MBC,Services to People,Childrens & Educational Services,OSCARS CHEADLE HULME,Furniture and Equipment,Environmental Services Technical Equipment ,14.02.2018,16.03.2018,GPC02180000094,18.99,,
Stockport MBC,Services to People,Childrens & Educational Services,W M MORRISON PLC,Catering Supplies,Catering Food & Beverages ,12.02.2018,16.03.2018,GPC02180000095,11.17,,
Stockport MBC,Services to People,Childrens & Educational Services,FP LTD,Office Expenses,Mail Services   ,14.02.2018,16.03.2018,GPC02180000096,249.00,,
Stockport MBC,Services to People,Childrens & Educational Services,FRANCOTYP,Office Expenses,Mail Services   ,13.02.2018,16.03.2018,GPC02180000097,120.00,,
