Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (£)
Stockport MBC,Corporate and Support Services,Central Services to the public,STAMPS DIRECT LTD,Office Expenses,Stationery    ,27.02.2019,16.03.2019,GPC02190000001,46.13
Stockport MBC,Corporate and Support Services,Central Services to the public,AMAZON.CO.UK MW3AA7OK4,Office Expenses,Stationery    ,26.02.2019,16.03.2019,GPC02190000002,108.95
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  JSXTLKEMG2,Publicity and Promotion,Facilities & Management Services  ,28.02.2019,16.03.2019,GPC02190000003,330.57
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK PG2P4KSUU2,Publicity and Promotion,Facilities & Management Services  ,28.02.2019,16.03.2019,GPC02190000004,59.26
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK  BUUBRKAMG2,Publicity and Promotion,Facilities & Management Services  ,17.02.2019,16.03.2019,GPC02190000005,600.0
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,28.02.2019,16.03.2019,GPC02190000006,11.56
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.02.2019,16.03.2019,GPC02190000007,20.44
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.02.2019,16.03.2019,GPC02190000008,27.49
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,15.02.2019,16.03.2019,GPC02190000009,5.25
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,14.02.2019,16.03.2019,GPC02190000010,8.99
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.02.2019,16.03.2019,GPC02190000011,21.91
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,13.02.2019,16.03.2019,GPC02190000012,2.4
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,12.02.2019,16.03.2019,GPC02190000013,14.71
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,11.02.2019,16.03.2019,GPC02190000014,20.27
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,08.02.2019,16.03.2019,GPC02190000015,13.06
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,07.02.2019,16.03.2019,GPC02190000016,12.52
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,06.02.2019,16.03.2019,GPC02190000017,2.8
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,05.02.2019,16.03.2019,GPC02190000018,13.84
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,04.02.2019,16.03.2019,GPC02190000019,19.82
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.02.2019,16.03.2019,GPC02190000020,2.94
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2019,16.03.2019,GPC02190000021,47.45
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2019,16.03.2019,GPC02190000022,71.45
Stockport MBC,Corporate and Support Services,Central Support Costs,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,04.02.2019,16.03.2019,GPC02190000023,77.55
Stockport MBC,Services to People,Childrens & Educational Services,ELSA NETWORK,Fees and Charges,"Works - Construction, Repair & Maintenance  ",01.02.2019,16.03.2019,GPC02190000024,100.0
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,25.02.2019,16.03.2019,GPC02190000025,55.4
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,25.02.2019,16.03.2019,GPC02190000026,55.4
Stockport MBC,Services to People,Childrens & Educational Services,HAYES FLORIST,Expenses and Allowances,UNCLASSIFIED  ,25.02.2019,16.03.2019,GPC02190000027,26.0
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,25.02.2019,16.03.2019,GPC02190000028,-43.9
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MI64E5S14,Publicity and Promotion,Arts & Leisure Services  ,18.02.2019,16.03.2019,GPC02190000029,53.97
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MI1296QV4,Publicity and Promotion,Arts & Leisure Services  ,15.02.2019,16.03.2019,GPC02190000030,29.97
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MI71I3DG4,Publicity and Promotion,Arts & Leisure Services  ,17.02.2019,16.03.2019,GPC02190000031,155.0
Stockport MBC,Services to People,Childrens & Educational Services,AMZN MKTP UK MI2YL1BA4,Publicity and Promotion,Arts & Leisure Services  ,14.02.2019,16.03.2019,GPC02190000032,179.94
