Organisation Name,Department where exp. Incurred,Service Category Label,Supplier (Beneficiary),Purpose of Expenditure,Procurement (Merchant) Category,Purchase Date,Settlement Date,Transaction Number,Net Amount (Â£)
Stockport MBC,Services to People,Adult Social Care,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000001,91.50
Stockport MBC,Services to People,Adult Social Care,SNBRU AIR,Travelling Expenses,Human Resources Travel & Subsistence ,28.04.2018,16.05.2018,GPC04180000002,22.61
Stockport MBC,Services to People,Adult Social Care,SNCB-NMBS INTERNET NA,Travelling Expenses,Human Resources Travel & Subsistence ,28.04.2018,16.05.2018,GPC04180000003,16.28
Stockport MBC,Corporate and Support Services,Central Services to the public,LUL TICKET MACHINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000004,2.40
Stockport MBC,Corporate and Support Services,Central Services to the public,WEST COAST TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000005,17.00
Stockport MBC,Corporate and Support Services,Central Services to the public,PREMIER INN44034360,Travelling Expenses,Human Resources Travel & Subsistence ,29.04.2018,16.05.2018,GPC04180000006,85.00
Stockport MBC,Corporate and Support Services,Central Services to the public,VIRGIN TRAINS,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000007,144.50
Stockport MBC,Corporate and Support Services,Central Services to the public,LUL TICKET MACHINE,Travelling Expenses,Human Resources Travel & Subsistence ,29.04.2018,16.05.2018,GPC04180000008,2.40
Stockport MBC,Corporate and Support Services,Central Services to the public,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,23.04.2018,16.05.2018,GPC04180000009,16.15
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 7NNAQF6MG2,Publicity and Promotion,Facilities & Management Services  ,30.04.2018,16.05.2018,GPC04180000010,8.21
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 97DCEFAUU2,Publicity and Promotion,Facilities & Management Services  ,30.04.2018,16.05.2018,GPC04180000011,72.78
Stockport MBC,Corporate and Support Services,Central Support Costs,FACEBK 6NNAQF6MG2,Publicity and Promotion,Facilities & Management Services  ,30.04.2018,16.05.2018,GPC04180000012,246.86
Stockport MBC,Corporate and Support Services,Central Support Costs,LINKEDIN-376 4205854,Publicity and Promotion,Facilities & Management Services  ,14.04.2018,16.05.2018,GPC04180000013,64.32
Stockport MBC,Corporate and Support Services,Central Support Costs,AWARENESSDAYS.CO.UK,Publicity and Promotion,Facilities & Management Services  ,05.04.2018,16.05.2018,GPC04180000014,-39.99
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,01.05.2018,16.05.2018,GPC04180000015,18.47
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,30.04.2018,16.05.2018,GPC04180000016,30.83
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,27.04.2018,16.05.2018,GPC04180000017,7.39
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,26.04.2018,16.05.2018,GPC04180000018,7.43
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,25.04.2018,16.05.2018,GPC04180000019,19.19
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,24.04.2018,16.05.2018,GPC04180000020,13.98
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,23.04.2018,16.05.2018,GPC04180000021,28.34
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,20.04.2018,16.05.2018,GPC04180000022,9.22
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,19.04.2018,16.05.2018,GPC04180000023,21.41
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,18.04.2018,16.05.2018,GPC04180000024,18.73
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,17.04.2018,16.05.2018,GPC04180000025,13.72
Stockport MBC,Services to People,Childrens & Educational Services,ASDA STORES 4840,Catering Supplies,Catering Food & Beverages ,16.04.2018,16.05.2018,GPC04180000026,37.07
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000027,71.35
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2018,16.05.2018,GPC04180000028,75.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2018,16.05.2018,GPC04180000029,110.80
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,18.04.2018,16.05.2018,GPC04180000030,-240.00
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN44024415,Expenses and Allowances,Catering  ,16.04.2018,16.05.2018,GPC04180000031,176.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.04.2018,16.05.2018,GPC04180000032,280.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,09.04.2018,16.05.2018,GPC04180000033,244.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,03.04.2018,16.05.2018,GPC04180000034,86.15
Stockport MBC,Services to People,Childrens & Educational Services,WWW.THOMANN.DE,Furniture and Equipment,Furniture & Soft Furnishings  ,30.04.2018,16.05.2018,GPC04180000035,46.90
Stockport MBC,Services to People,Childrens & Educational Services,AMAZON UK MARKETPLACE,Furniture and Equipment,Environmental Services Technical Equipment ,19.04.2018,16.05.2018,GPC04180000036,26.66
Stockport MBC,Services to People,Childrens & Educational Services,HEATON CHAPEL STN TO,Travelling Expenses,Human Resources Travel & Subsistence ,14.04.2018,16.05.2018,GPC04180000037,4.10
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,01.05.2018,16.05.2018,GPC04180000038,25.05
Stockport MBC,Services to People,Childrens & Educational Services,HOTELS.COM147652777575,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000039,270.00
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,30.04.2018,16.05.2018,GPC04180000040,501.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000041,63.50
Stockport MBC,Services to People,Childrens & Educational Services,PREMIER INN 44536865,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000042,122.50
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000043,24.15
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000044,182.00
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Office Expenses,Facilities & Management Services  ,23.04.2018,16.05.2018,GPC04180000045,500.00
Stockport MBC,Services to People,Childrens & Educational Services,FLYBEECE1 ECE1SV,Travelling Expenses,Human Resources Travel & Subsistence ,19.04.2018,16.05.2018,GPC04180000046,110.98
Stockport MBC,Services to People,Childrens & Educational Services,TRAINLINE,Travelling Expenses,Human Resources Travel & Subsistence ,16.04.2018,16.05.2018,GPC04180000047,263.50
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Office Expenses,Facilities & Management Services  ,14.04.2018,16.05.2018,GPC04180000048,500.00
Stockport MBC,Services to People,Childrens & Educational Services,CARTRIDGE SAVE,Office Expenses,Stationery    ,04.04.2018,16.05.2018,GPC04180000049,301.01
Stockport MBC,Services to People,Childrens & Educational Services,GOOGLE  ADWS8179771860,Office Expenses,Facilities & Management Services  ,04.04.2018,16.05.2018,GPC04180000050,500.00
Stockport MBC,Services to People,Childrens & Educational Services,TOWN CENTRE CAR PARK L,Travelling Expenses,Human Resources Travel & Subsistence ,27.04.2018,16.05.2018,GPC04180000051,8.00
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,26.04.2018,16.05.2018,GPC04180000052,18.50
Stockport MBC,Services to People,Childrens & Educational Services,NCP LIMITED,Travelling Expenses,Human Resources Travel & Subsistence ,25.04.2018,16.05.2018,GPC04180000053,18.50
