Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals (£),Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car,Unnamed: 11,Unnamed: 12
Timothy Addison,2020-01-23,1.0,"London, UK",Chief Finance Officer group Senior Leadership Team Meeting,Rail,Standard,Nil Return,Nil Return, £260.00 ,Nil Return,,
Timothy Addison,2020-01-28,1.0,"London, UK",Meeting with Director General,Rail,Standard,Nil Return,Nil Return, £291.00 ,Nil Return,,
Timothy Addison,2020-01-29,1.0,"London, UK",Internal Audit Senior Leadership Team meeting,Rail,Standard,Nil Return,Nil Return, £280.00 ,Nil Return,,
Timothy Addison,2020-02-03,2.0,"Stratford/Southend, UK",HMRC Audit and Risk Committee meeting,Tube,, £152.93 ,Nil Return, £158.23 ,Nil Return,,
Timothy Addison,2020-02-06,1.0,"London, UK",Govt Internal Audit Agency Senior Leadership Team planning for Internal Audit,Tube,, £7.95 ,Nil Return, £12.75 ,Nil Return,,
Timothy Addison,2020-02-13,1.0,"London, UK",Meeting with CEO,Rail,Standard,Nil Return,Nil Return, £339.00 ,Nil Return,,
Timothy Addison,2020-02-19,1.0,"Nottingham, UK",Regional Hub meeting - staff survey,Rail,Standard, £5.75 ,Nil Return, £69.75 ,Nil Return,,
Timothy Addison,2020-02-20,1.0,"London, UK",Chief Finance Officer group Senior Leadership Team,Rail,Standard, £3.99 ,Nil Return, £244.79 ,Nil Return,,
Timothy Addison,2020-02-25,1.0,"Liverpool, UK",Govt Finance Function Conference day delegate,Rail,Standard,Nil Return,Nil Return, £6.40 ,Nil Return,,
Timothy Addison,2020-02-26,1.0,"Liverpool, UK",Govt Finance Function Conference day delegate,Rail,Standard,Nil Return,Nil Return, £6.40 ,Nil Return,,
Timothy Addison,2020-02-27,1.0,"Newcastle, UK",Regional Hub meeting - staff survey,Rail,Standard,Nil Return,Nil Return, £122.00 ,Nil Return,,
Timothy Addison,2020-03-03,2.0,"London, UK","Internal Audit Leadership Group, Chief Finance Officer group Senior Leadership Team video link and London hub",Rail,Standard, £88.00 ,Nil Return, £353.90 ,Nil Return,,
Mary Aiston,2020-01-27,1.0,"Newark North Gate, UK",Senior Manager Group Conference,Rail,Standard, Nil Return , Nil Return , £51.00 , Nil Return ,,
Mary Aiston,2020-02-04,1.0,"Newark North Gate, UK",Senior Manager Group Conference,Rail,Standard, Nil Return , Nil Return , £58.00 , Nil Return ,,
Mary Aiston,2020-02-25,4.0,"Manchester, UK",office visit and Forward Institute course,Tube,, £342.00 , Nil Return , £346.80 , Nil Return ,,
Janet Alexander,2020-01-14,3.0,"London/Preston, UK","Face-to-face Customer Experience Professionalism Committee meeting; Catch ups with London based staff; Film Commitment video, Inland Pre-Clearance 20/21 meeting
",Rail/Tube/Taxi,Standard, £260.00 , Nil Return , £659.80 , Nil Return ,,
Janet Alexander,2020-01-21,2.0,"London, UK","Twitter strategy - follow up meeting, Catch ups 
with London based staff; Spending Review 20 progression ahead of Executive Committee, catch ups 
with London based staff.
",Rail / Taxi,Standard, £253.20 , Nil Return , £531.20 , Nil Return ,,
Janet Alexander,2020-01-23,1.0,"Preston, UK","Enterprise Leadership Group meeting, Tax Professionalism Board
Meeting - January",Rail/Tube,Standard, Nil Return , Nil Return , £158.40 , Nil Return ,,
Janet Alexander,2020-01-27,1.0,"London, UK",Follow up Deal Workshop,Rail/Tube,Standard, Nil Return , Nil Return , £352.80 , Nil Return ,,
Janet Alexander,2020-01-29,1.0,"London, UK",Catch ups with London based staff.,Rail/Taxi/Tube,Standard, £26.00 , Nil Return , £202.90 , Nil Return ,,
Janet Alexander,2020-02-04,1.0,"London, UK",Meeting,Hotel,, £113.00 , Nil Return , £113.00 , Nil Return ,,
Janet Alexander,2020-02-10,1.0,"London/Bristol, UK","Protect Connect Project Board, Catch ups with London based staff. Travel to Bristol",Rail/Taxi/Tube,Standard, £119.00 , Nil Return , £643.20 , Nil Return ,,
