"Name (Firstname, Surname)",Start date of trip (DD/MM/YYYY),Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Robert Devereux,2017-10-11,3 days , Telford / Bradford ,Departmental Business ,Rail,standard ,£154.20,Nil return,£293.30,
Robert Devereux,2017-10-19,2 days ,Norwich ,Departmental Business ,Rail,standard ,£81.60,Nil return,£125.60,
Robert Devereux,2017-10-25,2 days ,Newcastle ,Departmental Business ,Rail,standard ,£160.60,Nil return,£256.20,
Robert Devereux,2017-11-02,2 days ,Nottingham,Departmental Business ,Rail,standard ,£68.60,Nil return,£213.00,
Robert Devereux,2017-11-08,2 days ,Wigan ,Departmental Business ,Rail,standard ,£74.60,Nil return,£262.60,
Robert Devereux,2017-11-20,2 day ,Liverpool,Departmental Business ,Rail,standard ,£64.60,Nil return,£248.10,
Robert Devereux,2017-11-24,1 days ,Hastings,Departmental Business ,Rail,standard ,Nil return,Nil return,£36.10,
Robert Devereux,2017-11-30,2 days ,Edinburgh/ Dundee/Glasgow ,Departmental Business ,Rail,standard ,£80.60,Nil return,£216.00,
Robert Devereux,2017-12-05,1 day ,Folkstone,Departmental Business ,Rail,standard ,Nil return,Nil return,£28.85,
Robert Devereux,2017-12-08,1 day ,Stansted Airport,Departmental Business ,Rail,standard ,Nil return,Nil return,£28.00,
Robert Devereux,2017-12-11,1 day ,Canterbury ,Departmental Business ,Rail,standard ,Nil return,Nil return,£39.40,
,,,,,,,,,,
Debbie Alder,2017-10-11,2 days ,Sheffield,Departmental Business,rail ,Standard,£76.20,Nil return,£217.60,
Debbie Alder,2017-11-08,1 day,Newport ,DWP Wales Awards,rail ,Standard,£10.18,Nil return,£176.48,
Debbie Alder,2017-11-24,1 day ,Coventry,Departmental Business,rail ,Standard,Nil return,Nil return,£82.45,
Debbie Alder,2017-11-29,1 day,Sheffield ,DWP Gender Diversity Event,rail ,Standard,Nil return,Nil return,£128.00,
Debbie Alder,2017-12-05,2 day,Sheffield,Departmental Business,rail ,Standard,£95.60,Nil return,£241.60,
Debbie Alder,2017-12-08,1 day ,Taunton ,Departmental Business,rail ,Standard,Nil return,Nil return,£127.50,
,,,,,,,,,,
Neil Couling,2017-10-04,1 day ,Hove,Departmental Business,car/rail ,Standard,Nil return,Nil return,£67.59,
Neil Couling,2017-10-05,2 days ,Peel park,Departmental Business,rail / taxi ,Standard,£85.59,Nil return,£502.59,
Neil Couling,2017-10-12,2 days ,Sheffield,Departmental Business,rail ,Standard,£94.76,Nil return,£340.26,
