Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Simon McKinnon,19/04/2019,2,Newcastle,Digital ET /part working from newcastle ,Rail,Standard ,£212.05,None ,£320.20,
Simon McKinnon,19/04/2019,2,Edinburgh,ET & Scottish Goverment event ,Rail,Standard ,£54.85,None ,£381.85,
Simon McKinnon,01/05/2019,2,Manchester,Site Visit / Project Delivery event ,Rail,Standard ,£86.00,None ,£479.00,
Simon McKinnon,01/05/2019,1,York,Visit sick Staff member (HR Kit),Rail,Standard ,None ,None ,£132.50,
Simon McKinnon,16/05/2019,1,St Albans,DWP Story ,Rail,Standard ,None ,None ,£139.50,
Simon McKinnon,19/05/2019,2,Sheffield,P&C conference ,Rail,Standard ,£71.00,None ,£307.60,
Simon McKinnon,19/05/2019,2,Manchester,Digital Employment Training,"Rail, Metro ",Standard ,£78.00,None ,£454.50,
Simon McKinnon,03/06/2019,3,Newcastle,Mental Health First aide Training,"Rail, Taxi",Standard ,£138.00/,None ,£504.60,
Simon McKinnon,19/06/2019,1,Folkestone central ,DWP Story ,Train ,Standard ,none ,None ,£57.90,
Simon McKinnon,25/06/2019,1,Newcastle,Site Visit /Digital ET ,"Rail, Taxi",Standard ,£138.00,None ,£461.00,
Juan Villamil,01/04/2019,2,York,Gold Commander & Crisis Leadership Training,Rail,Standard,Hotel  (provided -no cost ),None ,£287.83,
Juan Villamil,03/04/2019,1,Manchester,Technology Services SLT Re-Org session,Rail,Standard,,None ,£350.00,
Juan Villamil,10/04/2019,2,Birmingham,Directors Away Day,Rail,Standard,£84.00 (Hotel) / £20.00 (overnight meal),None ,£157.65,
Juan Villamil,17/04/2019,1,Manchester,Technology Services SLT Re-Org session,Rail,Standard,,None ,£225.80,
Juan Villamil,02/05/2019,1,Leeds,Technology Services SLT People Session,Rail,Standard,,None ,£146.75,
Juan Villamil,13/05/2019,1,Newcastle,TS Director Staff Road Trip Visit ,Rail,Standard,,None ,£162.85,
