"Name (Firstname, Surname)",Date  (DD/MM/YYYY),Person or Organisation that offered hospitality,Type of Hospitality received,"Accompanied by spouse, family member or friend"
Peter Schofield,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Mayank Prakash,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Aleksei Doroshko,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Paul Lodge,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Paul Francis,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Tamara Bruck ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Simon McKinnon,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Charu Gorasia ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Tara Smith,10/05/2018,PWC,PWC Development Programme,No
Steve Buckingham,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Phillip Wells,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Debbie Alder ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Lorraine Jainudeen,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Crystal Akass,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Julie Pinder,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Susan Park,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Tom McCormack,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Susan Moore,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Richard West,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Richard Cornsih,17/05/2018,HASSRA,Awards Dinner and Overnight stay,No
Graeme Wallace,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Emma Haddad,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Matthew Briggs,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Jonathan Mills ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Charlotte Clark,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
James Wolfe,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Donna Ward,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Mary Pattison,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Peter Searle,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Trevor Huddleston,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Iain Walsh,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Julie Gillis,11/06/2018,Association of British Insurers,Dinner and wine at conference,No
Craig Eblett,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Robert Specterman-Green,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Neil Couling ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
JP Marks ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Janice Hartley,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Colin Stewart,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Karen Gosden,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Ian Wright,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Matthew Briggs,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Denise Horsfall,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Andrew Graham ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Robin Johnson ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Sara Weller ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Hayley Tatum,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Martin Hagen ,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
Richard Judge,24/04/2018,"Ministry of Labour & Social Development, Kingdom of Bahrain",Flight & accommodation when visitng Bahrain,No
David Snowball,NIL RETURN,NIL RETURN,NIL RETURN,NIL RETURN
