Name,Position held,Date of departure,Destination,Purpose,Travel: air,Travel: rail/underground/bus/bike, Travel: taxi/car , Personal incidental overseas , Day subsistence , Meals , Miscellaneous , Parking , Hotel: total cost ,Hotel: number of nights,Other ,Notes,Unnamed: 17
Philip Rutnam,Permanent Secretary,01/10/2015,London Paddington,Perm Sec Generals Meeting Dublin,,£20.85,,,,,,,,,,,
Philip Rutnam,Permanent Secretary,02/10/2015,Heathrow Term123,Perm Sec Generals Meeting Dublin,,£33.95,,,,,,,,,,,
Philip Rutnam,Permanent Secretary,02/10/2015,London,Speaking Engagement (AM)/Buiness Dinner (PM),,,£30.00,,,,,,,,,,
Philip Rutnam,Permanent Secretary,07/10/2015,Exeter St Davids,Regional Meeting with overnight stay,,£63.05,,,,,,,,,,,
Philip Rutnam,Permanent Secretary,08/10/2015,London Paddington,Regional Meeting with overnight stay,,£112.03,,,,,,,,,,,
Philip Rutnam,Permanent Secretary,22/10/2015,Leeds,Awayday with overnight stay,,£108.64,,,,,,,£95.45,1.0,,,
Philip Rutnam,Permanent Secretary,23/10/2015,York,Return trip from Awayday via York,,£108.64,,,,,,,,,,,
Philip Rutnam,Permanent Secretary,04/11/2015,London,Meeting in Whitehall,,,£11.00,,,£35.32,,,,,,,
Philip Rutnam,Permanent Secretary,13/11/2015,Peterborough,Exchange Visit with Local Authority,,£97.00,,,,,,,,,,,
Philip Rutnam,Permanent Secretary,20/11/2015,Ipswich,Port Visit to Felixstowe,,£26.67,,,,,,,,,,,
Bernadette Kelly,Director General Rail Group,06/10/2015,Various,Business Meetings/Events,,£13.10,£53.00,,,,,,£107.00,1.0,,,
Bernadette Kelly,Director General Rail Group,07/10/2015,Exeter St Davids,Corporate Programme Breakfast,,£63.05,,,,,,,,,,,
Bernadette Kelly,Director General Rail Group,08/10/2015,London Paddington,Corporate Programme Breakfast,,£112.04,,,,,,,,,,,
Bernadette Kelly,Director General Rail Group,08/10/2015,London - Southwark,National Transport Awards,,,,,,,,,£130.40,1.0,,,
Bernadette Kelly,Director General Rail Group,23/10/2015,Milton Keynes Central,SLT Away Day,,£33.85,,,,,,,,,,,
Bernadette Kelly,Director General Rail Group,11/11/2015,London - Regent's Park,Lord Adonis Northern Tour,,,,,,,,,£122.40,1.0,,,
Bernadette Kelly,Director General Rail Group,13/11/2015,London Kings Cross,Lord Adonis Northern Tour,,£48.98,,,,,,,,,,,
Bernadette Kelly,Director General Rail Group,18/11/2015,London - Southwark,Corporate Programme Breakfast,,,,,,,,,£87.40,1.0,,,
David Prout,"Director General, High Speed Rail Group",07/10/2015,Exeter St Davids,ExCo South West Visit,,£111.06,,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",07/10/2015,TfL Zones 1 & 2,"Meetings at HS2 Ltd Offices, 1 Canada Square",,£5.20,,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",07/10/2015,Exeter,Evening meal ,,,,,£28.15,,,,,,,,
David Prout,"Director General, High Speed Rail Group",08/10/2015,London Paddington,Taunton Visit,,£112.03,,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",12/10/2015,TfL Zones 1 & 2,"Meetings at HS2 Ltd Offices, 1 Canada Square",,£26.00,,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",04/11/2015,Milton Keynes Central,Business Meeting in Milton Keynes,,£32.49,,,,,,,,,,,
David Prout,"Director General, High Speed Rail Group",05/11/2015,Darlington,Business meeting in Darlington (non-flexible ticket),,£130.95,,,,,,,,,,,
