Senior Officials Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accommodation/Meals,Other (including hospitality given),Cost of Travel,"Total cost, including all visas, accommodation, travel, meals etc. (£)",Total Cost of Use of Official Secure Car
Alan Over,2019-04-24,1,Birmingham,HS2 Ltd Board - Presenting Lessons Learned Report,Rail,Standard,£0.00,£0.00,£78.10,78.10,Nil Return
Alan Over,2019-06-11,1,Birmingham,Meeting with HS2 Ltd re Main Works Civils Contractors,Rail,Standard,£0.00,£0.00,£76.50,76.50,Nil Return
Amanda Rowlatt,2019-04-24,1,Bracknell,3M Organisational Raid - Whitehall Industry Group,Rail,Standard,£0.00,£0.00,£31.10,31.10,Nil Return
Amanda Rowlatt,2019-05-21,1,Cambridge,Cambridge University,Rail,Standard,£0.00,£0.00,£58.70,58.70,Nil Return
Ben  Rimmington,2019-05-14,2,Reigate,Leadership Workshop,Rail,Standard,£0.00,£0.00,£38.10,38.10,Nil Return
Ben  Rimmington,2019-06-04,1,"Dublin, Republic of Ireland",Negotiation For Brexit,,Standard,£30.25,£0.00,£0.00,30.25,Nil Return
Ben  Rimmington,2019-06-23,1,London,Calais Meeting,Rail,Standard,£0.00,£0.00,£60.00,60.00,Nil Return
Ben  Smith,2019-04-04,1,Manchester,Attending the Transport of the North Partnership Board,Rail,Standard,£0.00,£0.00,£199.30,199.30,Nil Return
Ben  Smith,2019-05-22,1,Leicester,Attending Llep Board Meeting,Rail,Standard,£0.00,£0.00,£130.00,130.00,Nil Return
Ben  Smith,2019-06-12,1,Portsmouth,Portsmouth City Council Meeting,Rail,Standard,£0.00,£0.00,£80.50,80.50,Nil Return
Ben  Smith,2019-06-14,1,Gatwick,Transport for the South East Partnership Board,Rail,Standard,£0.00,£0.00,£14.10,14.10,Nil Return
Ben  Smith,2019-06-20,1,London,Transport for the Northern Partnership Board,Rail,Standard,£0.00,£0.00,£131.15,131.15,Nil Return
