UID,Client,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
284,Stockport Council,201200-Financial Services : Banking : ,Banking Services and Purchasing Card,Call Off (External),Contract,01-Apr-14,60,84,31-Mar-21,Yes,31-Mar-21,31-Mar-18,"Â£400,000.00","Â£2,400,000.00",Barclays Bank PLC,Large,1026167,E14 4BB,Stockport- Corporate & Support Services
346,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Minor Civil Engineering Works ,OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,01-Aug-17,"Â£2,816,633.89","Â£28,166,338.86",George Cox Holdings (Ltd),SME,4366302,BL4 7QF,Stockport- Services to Place
352,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance","Structural Maintenance, Retaining Walls ",OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,01-Aug-17,"Â£1,650,651.80","Â£16,506,517.97",Bethell Constructions LTD,SME,264322,M26 1GE,Stockport- Services to Place
362,Stockport Council,151612-Street & Traffic Management : Planning : ,"Signage, Access & Parking Strategy/planned highways stuctural maintenance",OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,01-Aug-17,"Â£92,523.36","Â£1,017,757.01","DCT Civil engineering, J Cooney",SME,2057769,M2 3EY,Stockport- Services to Place
364,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Carriageway Surfacing ,OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,01-Aug-17,"Â£1,048,598.13","Â£11,534,579.44",Tarmac Limited,Large,7533961,WV4 6JP,Stockport- Services to Place
390,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Preventative Surface Treatments ,OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,31-Mar-18,"Â£916,666.67","Â£10,083,333.33",Colas Limited,Large,2644726,RH10 4NF,Stockport- Services to Place
392,Stockport Council,182012-Environmental Services : Waste Management : Recycling,Recycling Operations/street lighting schemes,OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,31-Mar-18,"Â£246,728.97","Â£2,714,018.69",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
399,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Road Lining/anti skid coloured surfacing,OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,31-Mar-18,"Â£123,364.49","Â£1,357,009.35",Galliford Try Infrastructure Limited.,Large,SC055775,LE10 1YL,Stockport- Services to Place
402,Stockport Council,"391411-Works - Construction, Repair & Maintenance : Roads : Repair & Maintenance",Routine & Reactive Structures,OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,31-Mar-18,"Â£122,222.22","Â£1,344,444.44",George Cox and Sons Limited,SME,2775128,BL4 7QF,Stockport- Services to Place
407,Stockport Council,231400-Highway Equipment & Materials : Street Lighting : ,Street Lighting & Street Furniture Maintenance ,OJEU Tender,Contract,01-Apr-09,60,137,30-Sep-20,Yes,30-Sep-20,01-Aug-16,"Â£427,777.78","Â£2,566,666.67",Acorn Lighting Services Limited,SME,3724243,HG1 3EH,Stockport- Services to Place
650,Stockport Council,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,10-Oct-16,60,60,09-Oct-21,Yes,09-Oct-21,01-Oct-20,"Â£13,487.00","Â£80,922.00",Public-I-Group Ltd,SME,3998680,BN3 1DD,Stockport- Corporate & Support Services
908,Stockport Council,151000-Consultancy : Business : ,Service Support for Business Incubator,OJEU Tender,Contract,01-Sep-13,95,95,20-Jul-21,,20-Jul-21,01-Jan-20,"Â£260,302.00","Â£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
952,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Supply of Complex Aids for Daily Living ,OJEU Tender,Contract,01-Oct-15,30,54,31-Mar-20,Yes,31-Mar-20,10-Jan-19,"Â£600,000.00","Â£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
1194,Stockport Council,321100-Social Community Care Supplies & Services - Children :  ,Occupational and Speech Therapy,OJEU Tender,Contract,01-Oct-16,34,46,31-Aug-20,Yes,31-Aug-20,01-Dec-19,"Â£300,000.00","Â£1,200,000.00",Together Trust ,SME,301722,SK8 1JE ,Stockport- Services to People
1203,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Alliance for Positive Relationships,OJEU Tender,Contract,01-Aug-15,36,60,31-Jul-20,Yes,31-Jul-20,30-Jan-18,"Â£280,000.00","Â£1,400,000.00",Stockport Without Abuse Alliance,SME,3890735,SK1 3QP,Stockport- Services to People
1204,Stockport Council,321000Â  Social Community Care Supplies & Services - Adult,Targeted Prevention Alliance,OJEU Tender,Contract,01-Jun-15,36,60,31-Mar-21,Yes,31-Mar-21,31-Oct-20,"Â£1,500,000.00","Â£7,451,485.00",Stockport Homes ,Large,4521257,SK1 3NQ,Stockport- Services to People
1275,Stockport Council,351000-Street & Traffic Management : Parking : Car Parks,Redrock Car Park Management ,OJEU Tender,Contract,18-Jan-16,48,84,17-Jan-23,Yes,17-Jan-23,01-Mar-21,"Â£400,000.00","Â£2,800,000.00",National Car Parks Ltd (NCP),SME,253240,EC1N 8XE,Stockport- Services to Place
