UID,Client,Responsible Officer,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
650,Stockport Council,Phil Stephens,271501-Information Communication Technology : Services : ,Fixed Webcasting Service for Council Meetings,Tender,Contract,10/10/2016,60,60,09/10/2021,Yes,09/10/2021,01/10/2020,"Â£13,487.00","Â£80,922.00",Public-I-Group Ltd,SME,3998680,BN3 1DD,Stockport- Corporate & Support Services
908,Stockport Council,Carla Cooke,151000-Consultancy : Business : ,Service Support for Business Incubator,OJEU Tender,Contract,01/09/2013,95,95,20/07/2021,,20/07/2021,01/01/2021,"Â£260,302.00","Â£2,082,416.00",Oxford Innovation Ltd,SME,2177191,OX1 1BY,Stockport- Corporate & Support Services
952,Stockport Council,Lewis Sinkala,321000Â  Social Community Care Supplies & Services - Adult,Supply of Complex Aids for Daily Living ,OJEU Tender,Contract,01/10/2015,30,54,31/03/2020,Yes,31/03/2020,10/01/2019,"Â£600,000.00","Â£2,700,000.00",Rosscare,SME,469301,CH44 7HX,Stockport- Services to People
1194,Stockport Council,Tim Kulewa,321100-Social Community Care Supplies & Services - Children :  ,Occupational and Speech Therapy,OJEU Tender,Contract,01/10/2016,34,46,31/08/2020,Yes,31/08/2020,01/12/2019,"Â£300,000.00","Â£1,200,000.00",Together Trust ,SME,301722,SK8 1JE ,Stockport- Services to People
1204,Stockport Council,Rachael Tither,321000Â  Social Community Care Supplies & Services - Adult,Targeted Prevention Alliance,OJEU Tender,Contract,01/06/2015,36,60,31/03/2021,Yes,31/03/2021,31/10/2020,"Â£1,500,000.00","Â£7,451,485.00",Stockport Homes ,Large,4521257,SK1 3NQ,Stockport- Services to People
1314,Stockport Council,Lewis Sinkala,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 1 - Wellbeing and Indepenence at Home,OJEU Tender,Contract,01/10/2015,36,60,31/03/2021,Yes,31/03/2021,30/09/2020,"Â£300,000.00","Â£1,440,000.00",Age UK,SME,1139547,SK1 3AQ,Stockport- Services to People
1315,Stockport Council,Lewis Sinkala,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 2 - Independent Living and Wellbeing in the Community,OJEU Tender,Contract,01/10/2015,36,60,31/03/2021,Yes,31/03/2021,30/09/2020,"Â£300,000.00","Â£1,440,000.00",Pure Innovations,SME,5241249,SK3 0RF,Stockport- Services to People
1316,Stockport Council,Lewis Sinkala,321000Â  Social Community Care Supplies & Services - Adult,Stockport Council Wellbeing and Independence Network (WIN) Lot 3 - Wellbeing and Independence through Community Transport,OJEU Tender,Contract,01/10/2015,36,60,31/03/2021,Yes,31/03/2021,30/09/2020,"Â£120,000.00","Â£576,000.00",Stockport Car Scheme,SME,1091546,SK4 3LD,Stockport- Services to People
1367,Stockport Council,Gary Lee,201800-Financial Services : Insurance : ,Insurance Advisory and Broking Service,Call Off (External),Contract,01/01/2016,36,60,01/01/2021,,01/01/2021,01/08/2018,"Â£14,000.00","Â£70,000.00",Arthur J Gallagher ,Large,8887139,M3 5AG,Stockport- Corporate & Support Services
1378,Stockport Council,Shirella Simms,321000Â  Social Community Care Supplies & Services - Adult,Supported Living Services (103.7 - Phase 5),Mini Competition (Internal),Contract,01/12/2015,36,48,31/12/2020,No,31/12/2020,01/07/2018,"Â£214,766.76","Â£859,067.04",Home Focus,VCSE,2147139,M30 0DL,Stockport- Services to People
