UID,Client,Status,Pro Class,Contract Title,Route to Market,Agreement Type,Contract Start Date,Contract Term (Months),Maximum Duration of Contract (Months),Contract End Date,Ext. Applied to Contract,Maximum Extend Date,Review Date,Estimated Annual Value,Estimated Total Value,Supplier Name,Supplier Type,Registered Number,Postcode,Council Directorate
366,Stockport Council,Live (Ongoing),231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,,,,,,,,,,,,Aggregate Industries Ltd,Large,245717,RH1 3ES,Stockport- Services to Place
366,Stockport Council,Live (Ongoing),231100-Highway Equipment & Materials : Bituminous Materials & Surface Dressings : ,Dense Bitumen MacAdam,,,,,,,,,,,,J Hopkins Contractors Ltd,Large,1112562,M17 1LP,Stockport- Services to Place
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Abacus Homecare,Large,8766697,SK5 7BB,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,A-Best Nursing and Care Limited,Medium,6314762,SK1 3RU,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Absolute care & support,Medium,8326687,SK6 1NB,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Absolute care at home,Medium,5583427,WA14 2PL,Stockport- Services to People
596,Stockport Council,Live (ReProcure),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Allied Health Care Ltd,Large,1963820,M16 9HU,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Angel Home Care,SME,9972858,M22 8LP,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Assured Care (Stockport) Ltd,Medium,7288112,SK1 3LG,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Bluebird Homecare,SME,7168078,SK2 6NW,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Bridge Care Services Ltd,Medium,3911926,SK6 7AD,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Care 24 (UK) LTD,Medium,8700852,M19 1WA,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Care Mark Cheshire,SME,1088367,SK9 3HQ,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Care Need LTD Stockport,Medium,4125024,SK4 1AS,Stockport- Services to People
596,Stockport Council,Live (Ongoing),SOCIAL CARE SERVICES : Adult,Home and / or Community based Support Service,,,,,,,,,,,,Carers Trust (Crossroads),SME,7697170,M33 3HP,Stockport- Services to People
