DGUID,Activity,Time spent,UOM,UOM_ID,SCALAR_FACTOR
,Play computer games,7 to 9 hours,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Watch VCR movies,1 to 3 hours,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Play computer games,10 hours or more,Percent,239,units 
,Watch VCR movies,Not at all,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Play computer games,10 hours or more,Percent,239,units 
,Watch VCR movies,1 to 3 hours,Percent,239,units 
,Watch VCR movies,4 to 6 hours,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Watch VCR movies,4 to 6 hours,Percent,239,units 
,Play computer games,7 to 9 hours,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Watch VCR movies,Less than 1 hour,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Watch VCR movies,7 to 9 hours,Percent,239,units 
,Watch VCR movies,1 to 3 hours,Percent,239,units 
,Watch VCR movies,7 to 9 hours,Percent,239,units 
,Watch VCR movies,7 to 9 hours,Percent,239,units 
,Watch VCR movies,7 to 9 hours,Percent,239,units 
,Watch VCR movies,10 hours or more,Percent,239,units 
,Watch VCR movies,Not at all,Percent,239,units 
,Watch VCR movies,7 to 9 hours,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Watch VCR movies,Less than 1 hour,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Watch VCR movies,1 to 3 hours,Percent,239,units 
,Play computer games,7 to 9 hours,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Play computer games,4 to 6 hours,Percent,239,units 
,Watch VCR movies,10 hours or more,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Watch VCR movies,Not at all,Percent,239,units 
,Watch VCR movies,7 to 9 hours,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Play computer games,10 hours or more,Percent,239,units 
,Watch VCR movies,4 to 6 hours,Percent,239,units 
,Play computer games,7 to 9 hours,Percent,239,units 
,Watch VCR movies,4 to 6 hours,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Watch VCR movies,4 to 6 hours,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Play computer games,7 to 9 hours,Percent,239,units 
,Watch VCR movies,Not at all,Percent,239,units 
,Play computer games,4 to 6 hours,Percent,239,units 
,Play computer games,10 hours or more,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Play computer games,1 to 3 hours,Percent,239,units 
,Watch VCR movies,7 to 9 hours,Percent,239,units 
,Play computer games,10 hours or more,Percent,239,units 
,Watch VCR movies,1 to 3 hours,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
,Watch VCR movies,Not at all,Percent,239,units 
,Play computer games,1 to 3 hours,Percent,239,units 
,Watch VCR movies,Not at all,Percent,239,units 
,Play computer games,Not at all,Percent,239,units 
,Watch VCR movies,1 to 3 hours,Percent,239,units 
,Play computer games,10 hours or more,Percent,239,units 
,Watch VCR movies,1 to 3 hours,Percent,239,units 
,Play computer games,4 to 6 hours,Percent,239,units 
,Watch VCR movies,1 to 3 hours,Percent,239,units 
,Play computer games,4 to 6 hours,Percent,239,units 
,Play computer games,Less than 1 hour,Percent,239,units 
