GEO,DGUID,Sex,Age group,Activity
Israel,,Females,15 years,Watch VCR movies
Norway,,Males,11 years,Watch VCR movies
Canada,,Females,11 years,Watch VCR movies
Ireland,,Females,13 years,Watch VCR movies
Northern Ireland,,Females,15 years,Watch VCR movies
Czech Republic,,Males,11 years,Watch VCR movies
Hungary,,Males,11 years,Watch VCR movies
Norway,,Males,11 years,Watch VCR movies
Sweden,,Females,13 years,Play computer games
Czech Republic,,Males,13 years,Watch VCR movies
Scotland,,Males,15 years,Watch VCR movies
Poland,,Females,15 years,Watch VCR movies
Latvia,,Females,11 years,Watch VCR movies
Northern Ireland,,Males,13 years,Watch VCR movies
Poland,,Females,13 years,Watch VCR movies
Israel,,Males,15 years,Play computer games
Scotland,,Females,13 years,Play computer games
Poland,,Males,15 years,Play computer games
Wales,,Females,11 years,Watch VCR movies
Norway,,Males,11 years,Watch VCR movies
Poland,,Males,11 years,Watch VCR movies
Lithuania,,Females,15 years,Play computer games
Scotland,,Males,13 years,Watch VCR movies
Czech Republic,,Males,13 years,Play computer games
Slovakia,,Females,15 years,Play computer games
Israel,,Males,13 years,Watch VCR movies
Wales,,Males,15 years,Play computer games
Denmark,,Males,15 years,Watch VCR movies
Czech Republic,,Males,13 years,Watch VCR movies
Denmark,,Females,15 years,Play computer games
Estonia,,Females,13 years,Watch VCR movies
Israel,,Males,11 years,Watch VCR movies
Spain,,Males,15 years,Play computer games
Denmark,,Males,15 years,Watch VCR movies
Finland,,Males,13 years,Play computer games
Portugal,,Males,15 years,Play computer games
Slovakia,,Males,13 years,Watch VCR movies
Sweden,,Males,13 years,Watch VCR movies
Northern Ireland,,Females,15 years,Play computer games
Spain,,Females,13 years,Watch VCR movies
Wales,,Females,11 years,Watch VCR movies
Belgium (Flemish speaking),,Males,13 years,Play computer games
Scotland,,Females,15 years,Play computer games
Norway,,Males,11 years,Play computer games
Poland,,Males,13 years,Play computer games
Estonia,,Males,15 years,Play computer games
Scotland,,Males,13 years,Watch VCR movies
Austria,,Females,15 years,Watch VCR movies
Greenland,,Males,15 years,Watch VCR movies
Russia,,Females,13 years,Play computer games
France,,Females,11 years,Play computer games
Latvia,,Males,11 years,Play computer games
Spain,,Females,11 years,Play computer games
Slovakia,,Males,13 years,Play computer games
France,,Males,13 years,Play computer games
Norway,,Females,11 years,Play computer games
Latvia,,Males,13 years,Play computer games
Austria,,Females,13 years,Play computer games
Spain,,Females,15 years,Watch VCR movies
Estonia,,Females,15 years,Watch VCR movies
Scotland,,Males,11 years,Watch VCR movies
Russia,,Females,15 years,Play computer games
Scotland,,Females,11 years,Play computer games
Germany,,Males,15 years,Play computer games
Austria,,Females,11 years,Watch VCR movies
Belgium (French speaking),,Males,11 years,Watch VCR movies
Belgium,,Females,13 years,Play computer games
Austria,,Males,13 years,Play computer games
Sweden,,Females,13 years,Watch VCR movies
Wales,,Males,13 years,Watch VCR movies
Estonia,,Males,13 years,Play computer games
Northern Ireland,,Females,13 years,Play computer games
Germany,,Females,13 years,Play computer games
Sweden,,Males,11 years,Play computer games
Slovakia,,Males,15 years,Play computer games
Germany,,Males,11 years,Watch VCR movies
Finland,,Males,13 years,Play computer games
Israel,,Males,11 years,Play computer games
Greenland,,Females,13 years,Play computer games
Germany,,Females,13 years,Play computer games
Hungary,,Females,13 years,Watch VCR movies
Finland,,Males,11 years,Play computer games
Hungary,,Males,13 years,Play computer games
Finland,,Males,11 years,Play computer games
Wales,,Males,15 years,Play computer games
Norway,,Females,15 years,Play computer games
Israel,,Females,15 years,Play computer games
Estonia,,Males,15 years,Play computer games
Estonia,,Males,13 years,Watch VCR movies
Northern Ireland,,Females,13 years,Watch VCR movies
Latvia,,Males,15 years,Play computer games
Finland,,Males,15 years,Watch VCR movies
Denmark,,Females,13 years,Play computer games
Latvia,,Males,15 years,Play computer games
Norway,,Females,11 years,Play computer games
Canada,,Males,13 years,Play computer games
Poland,,Males,15 years,Watch VCR movies
Spain,,Females,13 years,Play computer games
Finland,,Females,11 years,Watch VCR movies
Wales,,Females,11 years,Play computer games
Greenland,,Females,15 years,Watch VCR movies
France,,Females,13 years,Watch VCR movies
Israel,,Females,15 years,Watch VCR movies
Sweden,,Females,15 years,Play computer games
Russia,,Females,11 years,Play computer games
Germany,,Females,13 years,Play computer games
Spain,,Males,11 years,Watch VCR movies
Sweden,,Females,11 years,Play computer games
Denmark,,Males,11 years,Play computer games
Estonia,,Females,11 years,Play computer games
Latvia,,Males,11 years,Watch VCR movies
France,,Males,13 years,Play computer games
Poland,,Males,11 years,Play computer games
Russia,,Males,15 years,Play computer games
Austria,,Females,11 years,Play computer games
Belgium (Flemish speaking),,Females,15 years,Play computer games
