Academic Year,Level,TAP Level of Study,TAP Sector Group,Recipient Age Group,TAP Financial Status,TAP Recipient Dollars
2009,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,1250.0
2000,U,2 yr Undergrad,2-CUNY CC,age 36 - 50,Financial_Independent,6487.56
2001,U,4 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,6000.0
2010,U,4 yr Undergrad,4-SUNY CC,age 36 - 50,Financial_Independent,502.0
2005,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,2250.0
2005,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Independent,59776.5
2016,U,4 yr Undergrad,5-INDEPENDENT,age 36 - 50,Financial_Independent,250.0
2018,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Dependent,13219.0
2009,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,1250.0
2012,U,5 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,2475.0
2014,U,2 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,2532.5
2019,U,4 yr Undergrad,9-CHAPTER XXII,age 22 - 25,Financial_Independent,2963.3
2000,U,2 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,5280.5
2000,U,2 yr Undergrad,8-OTHER,under age 22,Financial_Dependent,276.0
2003,U,4 yr Undergrad,4-SUNY CC,under age 22,Financial_Independent,2925.0
2011,U,4 yr Undergrad,1-CUNY SR,age 26 - 35,Financial_Independent,750.0
2005,U,4 yr Undergrad,1-CUNY SR,age 36 - 50,Financial_Independent,966.5
2012,U,2 yr Undergrad,8-OTHER,age 36 - 50,Financial_Independent,4644.01
2005,U,4 yr Undergrad,1-CUNY SR,over age 50,Financial_Independent,10670.25
2019,U,5 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,3717.89
2003,U,2 yr Undergrad,4-SUNY CC,under age 22,Financial_Independent,462.0
2004,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,247433.49
2017,U,2 yr Undergrad,7-BUS. NON-DEG,under age 22,Financial_Independent,1142.5
2005,U,2 yr Undergrad,7-BUS. NON-DEG,age 26 - 35,Financial_Independent,26051.0
2014,U,4 yr Undergrad,3-SUNY SO,age 26 - 35,Financial_Dependent,10180.0
2014,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,2801.0
2006,U,2 yr Undergrad,5-INDEPENDENT,under age 22,Financial_Dependent,1750.0
2012,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Independent,500.0
2012,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,12110.0
2002,U,2 yr Undergrad,1-CUNY SR,age 22 - 25,Financial_Independent,2457.26
2013,U,2 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,8067.0
2011,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Independent,9927.17
2002,U,2 yr Undergrad,6-BUS. DEGREE,age 26 - 35,Financial_Dependent,51771.82
2013,U,2 yr Undergrad,4-SUNY CC,over age 50,Financial_Independent,1458.35
2009,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,1190.0
2003,U,2 yr Undergrad,6-BUS. DEGREE,over age 50,Financial_Independent,3575.0
2013,U,4 yr Undergrad,3-SUNY SO,age 36 - 50,Financial_Independent,20637.5
2013,U,2 yr Undergrad,2-CUNY CC,age 26 - 35,Financial_Independent,49898.25
2002,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Independent,2435.0
2014,U,4 yr Undergrad,3-SUNY SO,age 22 - 25,Financial_Dependent,5165.0
2008,G,Grad,3-SUNY SO,age 36 - 50,Financial_Independent,337.5
2002,U,4 yr Undergrad,3-SUNY SO,under age 22,Financial_Dependent,3684.0
2000,U,2 yr Undergrad,6-BUS. DEGREE,age 22 - 25,Financial_Independent,2677.67
2009,U,2 yr Undergrad,2-CUNY CC,age 22 - 25,Financial_Independent,22887.24
2019,U,2 yr Undergrad,5-INDEPENDENT,age 22 - 25,Financial_Dependent,684.77
2002,U,2 yr Undergrad,5-INDEPENDENT,over age 50,Financial_Independent,19371.0
2005,U,4 yr Undergrad,5-INDEPENDENT,age 26 - 35,Financial_Dependent,500.0
2001,U,2 yr Undergrad,4-SUNY CC,age 26 - 35,Financial_Dependent,137.5
