CREATED,BIC NUMBER,ACCOUNT NAME,CITY,STATE,MARKET,APPLICATION TYPE
11/04/2019,HPP-134,"LBD PRODUCE, INC.",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/06/2019,GMM-8,INTERSTATE FOODS INC.,BRONX,NY,Gansevoort Meat Market,Public Wholesale Market
08/18/2020,HPA-32,"HUNTS POINT FLOWER MARKET, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/13/2018,HPM-490846,TROCHEZ MEAT CORP.,BRONX,NY,Hunts Point Meat Market,Market Business
08/29/2018,GMM-12,"J.T. JOBBAGY, INC.",NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
07/23/2020,FFM-37,"CALEB HALEY & CO., LLC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
09/16/2019,FFM-124,NEW FULTON FISH MARKET COOPERATIVE AT HUNTS POINT,BRONX,NY,Hunts Point New Fulton Fish Market,Trade Association
09/08/2020,GMM-3,LONDON MANHATTAN CORP.,NEW YORK,NY,Gansevoort Meat Market,Public Wholesale Market
07/02/2018,HPM-26,LOUIS SPAGNOLI INC.,KATONAH,NY,Hunts Point Meat Market,Public Wholesale Market
07/03/2020,HPA-63,NYC TRUCKING CORP.,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
08/21/2019,FFM-100,"FAIR FISH CO., INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
05/03/2019,HPA-15,"RIDGE PRODUCE, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
02/04/2019,HPA-15,"RIDGE PRODUCE, INC.",BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
01/23/2018,FFM-100,FAIR FISH CO. INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
10/07/2019,HPP-173,"FRES CO, LLC",BRONX,NY,Hunts Point Produce Market,Public Wholesale Market
03/27/2020,HPA-18,BLUE STAR MEAT CORP,BRONX,NY,Adjacent to Hunts Point Market,Public Wholesale Market
07/26/2017,HPM-15,"GARDEN MANOR FARMS, INC.",BRONX,NY,Hunts Point Meat Market,Public Wholesale Market
08/29/2019,HPP-494739,"ROMY'S PRODUCE, INC.",ELMONT,NY,Hunts Point Produce Market,Public Wholesale Market
02/12/2018,FFM-85,"MT. SINAI FISH, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
02/17/2020,HPP-485207,BERGEN PRODUCE LLC,BRICK,NJ,Hunts Point Produce Market,Public Wholesale Market
10/05/2020,HPP-493942,AJ BUYING SERVICE INC.,HISKSVILLE,NY,Hunts Point Produce Market,Market Business
06/15/2020,FFM-134,J & K SEAFOOD INC.,BRONX,NY,Hunts Point New Fulton Fish Market,Public Wholesale Market
05/20/2021,FFM-143,"FULTON CAFE, INC.",BRONX,NY,Hunts Point New Fulton Fish Market,Market Business
