Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",169,163.81,333,319.66,940,909.79,533,510.63,95,91.78,0,0,2070,1995.67,14,14,15,15,70,70,2,2,101,101,2171,2096.67,"£6,998,343",£0,£534,"£19,424","£1,357,948","£614,642","£8,990,891","£834,663","£18,831","£853,494","£9,844,385",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",824,749.46,485,455.47,692,649.02,178,171.4,9,9,0,0,2188,2034.35,46,45.6,2,2,43,43,0,0,91,90.6,2279,2124.95,"£5,061,196","£84,551",£0,"£57,277","£991,768","£399,029","£6,593,821","£343,706",£0,"£343,706","£6,937,527",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",93,86.38,136,129.34,238,222.96,88,84.95,2,2,0,0,557,525.63,0,0,0,0,0,0,0,0,0,0,557,525.63,"£1,299,268","£33,429","£764,078","£30,041","£247,703","£195,249","£2,569,768",£0,£0,£0,"£2,569,768",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",199,182.62,251,224.26,327,303.38,87,84.09,4,4,12,12,880,810.35,5,5,0,0,1,1,0,0,6,6,886,816.35,"£1,872,496","£36,179","£3,000","£24,073","£134,876","£349,644","£2,420,268","£17,677","£132,099","£149,776","£2,570,044",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",825,725.97,634,584.22,486,466.51,151,149.98,15,15,0,0,2111,1941.68,26,26,45,45,10,10,0,0,81,81,2192,2022.68,"£4,293,614","£55,667","£7,450","£70,183","£794,887","£322,139","£1,683,050","£1,165,162",£0,"£1,165,162","£2,848,212",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",36,35.18,31,29.32,46,45.51,40,39.92,3,3,0,0,156,152.93,13,12,0,0,2,0.4,0,0,15,12.4,171,165.33,"£445,081","£6,945","£18,000","£1,465","£90,926","£40,147","£602,564","£40,392",£0,"£40,392","£642,956",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,377,366.25,377,366.25,16,16,0,0,13,13,0,0,29,29,406,395.25,"£1,078,254","£34,509",£0,£186,"£94,335","£117,166","£1,324,449","£36,153",£0,"£36,153","£1,360,602",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",11,10.42,30,28.98,23,22.09,9,9,4,4,0,0,77,74.49,0,0,0,0,0,0,0,0,0,0,77,74.49,"£186,297",£417,"£14,950",£0,"£34,002","£16,492","£252,158",£0,£0,£0,"£252,158",
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1998,1877.9,2692,2545.14,3071,2914.56,1799,1732.93,121,120.47,964,955.76,10645,10146.76,214,208.94,47,45.08,67,65.43,60,56.72,388,376.17,11033,10522.93,"£25,764,306","£310,056","£310,982","£511,596","£3,341,988","£2,123,672","£32,362,600","£583,794","£1,550,702","£2,134,497","£34,497,097",
Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",15,13.46,25,23.69,114,108,21,19.55,1,1,5,0.93,181,166.63,0,0,0,0,0,0,0,0,0,0,181,166.63,"£431,404","£5,790",£500,"£2,627","£81,097","£32,907","£554,325",£0,£0,£0,"£554,325",
Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",34,32.4,97,95.36,102,98.96,41,40.87,5,4.81,0,0,279,272.4,0,0,0,0,0,0,0,0,0,0,279,272.4,"£583,646",£0,£0,"£10,122","£61,833","£130,727","£786,329",£0,£0,£0,"£786,329",
National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1,1,4,4,12,10,1,1,1,1,0,0,19,17,0,0,0,0,0,0,0,0,0,0,19,17,"£50,406",£175,£0,"£1,026","£9,308","£3,851","£64,766",£0,£0,£0,"£64,766",
Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",248,227.89,382,357.99,1396,1317.28,189,186.25,23,23,8,7.4,2246,2119.81,162,159.45,0,0,0,0,1,0.8,163,160.25,2409,2280.06,"£5,308,880","£61,350","£3,690","£22,726","£1,001,790","£399,557","£6,797,993","£258,942",£0,"£258,942","£7,056,935",
"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",228,206.78,164,154.84,192,185.83,57,55.47,13,13,86,86,740,701.92,27,24.4,4,3.5,6,6,0,0,37,33.9,777,735.82,"£1,705,657","£3,968",£0,"£31,876","£301,904","£129,844","£2,173,249","£97,489","£11,475","£108,964","£2,282,213",
Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",4,4,0,0,0,0,0,0,0,0,86,86,90,90,0,0,0,0,0,0,0,0,0,0,90,90,"£238,974",£847,£0,£0,"£29,591","£22,261","£291,674",£0,£0,£0,"£291,674",Bulk of staff do not fall into specified categories.
