Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Number of non-payroll staff (contingent labour and consultants/consultancy),Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,"Grand Total 
(workforce numbers)",Unnamed: 28,Payroll staff costs,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Non-Payroll staff (contingent labour/consultancy) costs,Unnamed: 37,Unnamed: 38,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,,,,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,174,162.50,223,215.87,687,673.25,657,632.35,127,123.76,0,0.00,1868,1807.73,14,14.00,1,1.00,109,101.49,0,0,124,116.49,1992,1924.22,11145867.3,21804.25,-239983.15,70081.83,1484702.1,1227724.07,13710196.4,1674048.552,1197181.188,2871229.74,16581426.14,,,1674048.552,1197181.188,2871229.74
Driving Standards Agency,Executive Agency,Department for Transport,229,191.83,1761,1651.07,213,208.79,43,42.45,2,2.00,0,0.00,2248,2096.14,7,7.00,0,0.00,0,0.00,0,0,7,7.00,2255,2103.14,5425427.44,47260.59,0,40883.25,896330.85,757714.32,7167616.45,37947.2,16797.93,54745.13,7222361.58,,,,,
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4243,3746.15,741,701.77,587,566.67,126,121.25,5,5.00,0,0.00,5702,5140.84,0,0.00,3,2.20,3,2.00,0,0,6,4.20,5708,5145.04,9036139,-10138,1376,231685,1674279,315239,11248580,126888,2394,129282,11377862.0,,,,,
Highways Agency,Executive Agency,Department for Transport,1366,1318.92,340,321.67,1394,1347.55,334,323.86,36,35.19,0,0.00,3470,3347.19,0,0.00,81,23.39,0,0.00,0,0,81,23.39,3551,3370.58,8388370.44,671860.23,2117.83,124723.27,1783004.56,1334056.38,12304132.71,402796.41,0,402796.41,12706929.12,,,,,
Maritime and Coastguard Agency,Executive Agency,Department for Transport,433,397.96,222,211.62,299,275.64,108,105.68,5,5.00,0,0.00,1067,995.90,33,33.00,0,0.00,0,0.00,0,0,33,33.00,1100,1028.90,2419181.55,191098.32,2500,155123.34,492213.93,235300.92,3495418.06,108506,0,108506,3603924.06,,,,,
Vehicle Certification Agency,Executive Agency,Department for Transport,40,33.52,36,34.45,75,73.20,11,11.00,1,1.00,0,0.00,163,153.17,4,4.00,0,0.00,0,0.00,0,0,4,4.00,167,157.17,559011.73,23193.73,800,21928.31,85302.96,83775.84,774012.57,10000,,10000,784012.57,,,,,
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1040,974.20,803,787.57,404,398.32,42,41.95,4,4.00,0,0.00,2293,2206.04,46,45.17,13,13.00,30,30.00,0,0,89,88.17,2382,2294.21,4308724.5,382781.5,1400,283277.5,842637.41,661985.96,6480806.87,368056.64,0,368056.64,6848863.51,,,,,
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0.00,1,1.00,5,5.00,3,2.70,1,1.00,0,0.00,10,9.70,0,0.00,0,0.00,2,2.00,0,0,2,2.00,12,11.70,40340.43,2862.88,0,0,4248.81,3096.7,50548.82,7000,134.5,7134.5,57683.32,,,,,
