Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Number of non-payroll staff (contingent labour and consultants/consultancy),Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,"Grand Total 
(workforce numbers)",Unnamed: 28,Payroll staff costs,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Non-Payroll staff (contingent labour/consultancy) costs,Unnamed: 37,Unnamed: 38,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
,,,AO/AA,,EO,,SEO/HEO,,Grade 6/7,,SCS,,"Other, unknown, or unspecified",,"Total
Employees",,"Agency staff 
(clerical/admin)",,Interim managers,,Specialist Contractors,,Consultants/consultancy,,Total,,,,Salary,Allowances,Non-consolidated performance payments,Overtime,Employer pension contributions,Employer national insurance contributions,Total paybill for payroll staff,"Total monthly cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors","Total monthly cost of consultants/
consultancy",Total non-payroll (CCL) staff costs,,
,,,Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",Headcount,"Full-time 
equivalent",,,,,,,,,,,,
Department for Transport ,Ministerial Department,Department for Transport,173,161.5,220,212.67,686,672.61,661,635.97,126,122.76,0,0,"1,866","1,806",17,17,1,1,100,92.49,0,0,118,110.4944444,"1,984","1,916","£3,325,908.53","£25,716.76","-£7,891.39","£159,854.89","£1,396,347.88","£753,850.54","£5,653,787.21","£1,279,640.35","£333,942.31","£1,613,582.66","£7,267,369.87",
Driving Standards Agency,Executive Agency,Department for Transport,226,188.86,1668,1558.36,304,299.38,42,41.89,2,2,0,0,"2,242","2,090",10,10,2,2,0,0,0,0,12,12,"2,254","2,102","£4,514,612.37","£175,701.42",£0.00,"£201,525.24","£868,015.63","£355,272.11","£6,115,126.77","£21,892.44","£98,018.42","£119,910.86","£6,235,037.63",
Driver and Vehicle Licensing Agency,Executive Agency,Department for Transport,4285,3779.51,735,694.94,593,572.37,125,120.25,5,5,0,0,"5,743","5,172",0,0,3,2.6,3,2.7,0,0,6,5.3,"5,749","5,177","£9,029,755.00","£65,855.00",£224.00,"£424,620.00","£1,616,170.00","£563,357.00","£11,699,981.00","£36,728.00","-£9,044.00","£27,684.00","£11,727,665.00",
Highways Agency,Executive Agency,Department for Transport,1382,1336.28,336,316.9,1415,1366.78,337,326.88,36,35.19,0,0,"3,506","3,382",0,0,85,30.78,0,0,0,0,85,30.77702703,"3,591","3,413","£8,382,009.74","£648,541.24","£7,431.21","£160,877.83","£1,727,141.80","£729,957.58","£11,655,959.40","£524,647.36",£0.00,"£524,647.36","£12,180,606.76",
Maritime and Coastguard Agency,Executive Agency,Department for Transport,427,390.96,220,209.93,299,273.45,107,103.9,5,5,0,0,"1,058",983,28,28,0,0,0,0,0,0,28,28,"1,086","1,011","£2,380,307.80","£230,824.31","£2,003.00","£174,263.62","£493,947.31","£192,265.07","£3,473,611.11","£101,934.00",,"£101,934.00","£3,575,545.11",
Vehicle Certification Agency,Executive Agency,Department for Transport,39,33.46,40,37.79,76,73.91,9,9,1,1,0,0,165,155,4,4,0,0,0,0,0,0,4,4,169,159,"£511,806.00","£11,711.00",£0.00,"£21,348.00","£90,702.00","£45,564.00","£681,131.00","£19,567.00",,"£19,567.00","£700,698.00",
Vehicle and Operator Services Agency,Executive Agency,Department for Transport,1032,966.77,800,784.69,410,403.12,42,41.95,4,4,0,0,"2,288","2,201",47,46.17,13,13,33,33,0,0,93,92.17,"2,381","2,293","£4,556,356.33","£372,258.83","£1,550.00","£137,591.94","£912,970.74","£381,441.60","£6,362,169.44","£496,242.30",£0.00,"£496,242.30","£6,858,411.74",
British Transport Police Authority,Executive Non-Departmental Public Body,Department for Transport,0,0,1,1,5,5,3,2.7,1,1,0,0,10,10,0,0,0,0,2,2,0,0,2,2,12,12,"£34,799.15","£2,862.88",£0.00,£0.00,"£4,228.92","£3,084.43","£44,975.38","£34,460.76",£0.00,"£34,460.76","£79,436.14",
