Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,Unnamed: 41
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",170,163.92,329,314.24,954,923.96,532,510.43,96,93.17,0,0,2081,2005.72,11,11,9,9,58,58,2,2,80,80,2161,2085.72,"£7,004,257",£0,£534,"£35,998","£1,341,900","£580,539","£8,963,228","£717,542","£16,601","£734,143","£9,697,371",,
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",813,741.11,480,451.43,693,649.65,176,170.33,9,9,0,0,2171,2021.52,43,43,2,2,34,34,0,0,79,79,2250,2100.52,"£4,963,740","£69,243",£0,"£69,157","£968,049","£385,218","£6,455,407","£297,351",£0,"£297,351","£6,752,758",,
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",86,79.57,131,124.8,238,222.45,88,84.79,3,3,0,0,546,514.61,0,0,0,0,0,0,0,0,0,0,546,514.61,"£1,286,432","£27,203",£0,"£17,350","£246,894","£101,172","£1,679,051",£0,£0,£0,"£1,679,051",,
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",196,178.65,252,228.27,310,286.87,84,81.09,4,4,15,15,861,793.88,12,12,4,4,7,7,2,2,25,25,886,818.88,"£1,824,731","£36,365","£91,700","£8,186","£132,066","£342,406","£2,435,454","£62,399","£7,103","£69,501","£2,504,955",,
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",829,733.7,629,582.9,470,450.7,148,146.8,15,15,0,0,2091,1929,47,47,58,58,0,0,0,0,105,105,2196,2034,"£5,087,945","£52,675","£17,000","£69,947","£925,429","£412,020","£6,565,016","£725,416",£0,"£725,416","£7,290,432","With the introduction of a new HR system in July, currently we are not in a position to provide separate figures for our interim managers and specialist contractors so the figure provided in column T&U is for both.",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",34,32.43,31,29.52,48,47.41,41,40.52,3,3,0,0,157,152.88,9,8.2,0,0,2,0.4,0,0,11,8.6,168,161.48,"£452,144","£6,804",£0,£681,"£91,732","£38,342","£589,703","£30,074",£0,"£30,074","£619,777",,
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff,
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff,
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,385,372.3,385,372.3,19,19,0,0,15,15,0,0,34,34,419,406.3,"£1,086,132","£37,003",£0,"£1,315","£94,799","£117,225","£1,336,474","£50,107",£0,"£50,107","£1,386,581",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. ,
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.42,30,28.98,20,19.09,9,9,4,4,0,0,72,69.49,1,1,0,0,0,0,0,0,1,1,73,70.49,"£179,610",£417,£0,£0,"£32,085","£14,277","£226,389","£2,975",£0,"£2,975","£229,364",,
Environment Agency,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1874,1758.83,2661,2516.32,3037,2882.6,1799,1733.79,121,120.47,935,925.92,10427,9937.93,266,261.45,56,54.08,67,65.43,70,66.73,459,447.69,10886,10385.62,"£25,445,687","£322,474","£4,030","£685,118","£3,341,988","£2,123,672","£31,922,969","£552,020","£1,426,730","£1,978,750","£33,901,719",,
Joint Nature Conservation Committee,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",15,13.55,23,21.69,116,110.21,21,19.55,1,1,4,0.81,180,166.81,0,0,0,0,0,0,0,0,0,0,180,166.81,"£426,863","£7,379","£51,495",£725,"£81,068","£38,719","£606,249",£0,£0,£0,"£606,249",,
Marine Management Organisation,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",32,37.75,99,96.76,100,97.16,39,38.87,5,4.81,0,0,275,275.35,7,7,0,0,0,0,0,0,7,7,282,282.35,"£660,413",£0,£0,"£12,936","£124,796","£47,633","£845,778",£0,£0,£0,"£845,778",,
National Forest Company,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",1,1,4,4,12,10,1,1,1,1,0,0,19,17,0,0,0,0,0,0,0,0,0,0,19,17,"£45,768",£175,£0,"£3,530","£8,436","£3,811","£61,720",£0,£0,£0,"£61,720",,
Natural England,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",239,218.12,359,337,1391,1310.93,189,186.17,22,22,12,11.4,2212,2085.62,208,207.5,0,0,0,0,2,2,210,209.5,2422,2295.12,"£5,272,316","£53,521","£139,953","£36,165","£1,001,073","£414,590","£6,917,618","£391,888",£0,"£391,888","£7,309,506",,Sep-14
"Royal Botanic Gardens, Kew",Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",228,207.41,164,154.42,187,180.85,58,56.27,12,12,75,75,724,685.95,20,18.9,7,6.8,5,5,0,0,32,30.7,756,716.65,"£1,621,955","£34,967",£0,"£29,419","£295,923","£128,988","£2,111,252","£189,860",£986,"£190,846","£2,302,098",,
Sea Fish Industry Authority,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",4,4,0,0,0,0,0,0,0,0,82,82,86,86,0,0,0,0,0,0,0,0,0,0,86,86,"£247,142","£4,192","£3,936",£0,"£31,223","£23,858","£310,350",£0,£0,£0,"£310,350",Bulk of staff do not fall into specified categories.,
