Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
"Department for Environment, Food and Rural Affairs",Ministerial Department,"Department for Environment, Food and Rural Affairs",167,162.22,337,323.25,941,908.99,526,502.7,96,92.43,0,0,2067,1989.59,15,15,11,11,61,61,2,2,89,89,2156,2078.59,"£6,650,610",£0,"-£28,666","£35,243","£1,313,250","£567,520","£8,537,957","£652,248","£17,939","£670,187","£9,208,144",
Animal Health and Veterinary Laboratories Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",831,755.6,497,467.48,686,645.64,180,173.02,7,7,0,0,2201,2048.74,40,40,2,2,24,23.2,0,0,66,65.2,2267,2113.94,"£5,009,807","£70,037",£0,"£121,760","£978,444","£395,242","£6,575,290","£300,881",£0,"£300,881","£6,876,171",
"Centre for Environment, Fisheries and Aquaculture Science",Executive Agency,"Department for Environment, Food and Rural Affairs",93,86.38,138,131.34,237,221.26,89,84.95,2,2,0,0,559,525.93,1,1,0,0,0,0,0,0,1,1,560,526.93,"£1,316,175","£60,505","£4,252","£46,948","£249,853","£110,424","£1,788,157",£0,£0,£0,"£1,788,157",
Food and Environment Research Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",200,182.99,236,209.51,333,309.78,82,78.95,4,4,13,13,868,798.23,7,7,1,1,2,2,0,0,10,10,878,808.23,"£1,828,334","£39,632","£1,100","£2,632","£133,043","£339,148","£2,343,890",£428,"£17,814","£18,242","£2,362,132",
Rural Payments Agency,Executive Agency,"Department for Environment, Food and Rural Affairs",856,755.56,604,557.29,482,462.47,148,146.98,15,15,0,0,2105,1937.3,13,13,122,122,76,76,0,0,211,211,2316,2148.3,"£4,293,617","£52,370","£6,937","£126,832","£787,505","£316,820","£5,584,081","£832,611",£0,"£832,611","£6,416,692",
Veterinary Medicines Directorate ,Executive Agency,"Department for Environment, Food and Rural Affairs",37,36.18,31,29.3,46,45.51,38,37.92,3,3,0,0,155,151.91,13,12,0,0,2,0.4,0,0,15,12.4,170,164.31,"£442,731","£7,313",£0,"£4,741","£90,830","£38,130","£583,745","£35,201",£0,"£35,201","£618,946",
Agricultural Wages Board for England and Wales,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Board does not employ any staff
Agricultural Wages Committee x 15,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),(.),The Agricultural Wages Committees do not employ any staff
Agriculture and Horticulture Development Board,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",0,0,0,0,0,0,0,0,0,0,379,367.7,379,367.7,13,13,0,0,19,19,0,0,32,32,411,399.7,"£1,068,866","£35,783",£0,£983,"£93,168","£116,817","£1,315,617","£43,123",£0,"£43,123","£1,358,740",AHDB is funded through a levy paid by farmers and others in the agricultural supply chain.  No funding towards staffing or other running costs is received from the Government. 
Consumer Council for Water,Executive Non-Departmental Public Body,"Department for Environment, Food and Rural Affairs",9,8.4,29,26.96,25,24.7,9,9,4,4,0,0,76,73.06,0,0,0,0,0,0,0,0,0,0,76,73.06,"£180,543",£416,£0,£0,"£32,774","£14,784","£228,517","£1,866",£0,"£1,866","£230,383",
