Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,01/08/2017,PCARD-2018/05,9.29,J T ATKINSON & SONS LTD,S0045,Dales Countryside Museum,Materials,Y,,,
Yorkshire Dales National Park Authority,01/08/2017,PCARD-2018/05,16.0,J T ATKINSON & SONS LTD,S0045,Dales Countryside Museum,Materials,Y,,,
Yorkshire Dales National Park Authority,01/08/2017,PCARD-2018/05,45.96,J T ATKINSON & SONS LTD,S0045,Dales Countryside Museum,Materials,Y,,,
Yorkshire Dales National Park Authority,01/08/2017,PCARD-2018/05,54.67,J T ATKINSON & SONS LTD,S0045,Southern Dales (Craven  Lancs),Materials,Y,,,
Yorkshire Dales National Park Authority,01/08/2017,PCARD-2018/05,60.38,SKIPTON HIRE CENTRE LTD,S0055,Contracts - Planned Maintenance Office,Materials,Y,,,
Yorkshire Dales National Park Authority,01/08/2017,PI129858,89.07,EE LIMITED - DD,S3004,Support Services,Mobile Phones,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N044090007  05/2018,156.0,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Aysgarth Falls NPC,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N044090007  05/2018,432.0,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Aysgarth Falls NPC,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N044090007 05/2018,336.0,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N003069007 05/2018,1059.8,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N04569000 05/2018,228.0,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Contracts - Access Rangers,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N003069007 05/2018,4239.2,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Dales Countryside Museum,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N084911002 05/2018,2283.0,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Office Accomodation,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N051177005  05/2018,133.0,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Toilets,Rates,,,,
Yorkshire Dales National Park Authority,01/08/2017,RDC N044090007  05/2018,276.0,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Toilets,Rates,,,,
