Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,07/11/2018,PCARD-2019/09,-1071.89,ROYAL MAIL GROUP LTD,S0264,Support Services,Postage,Y,,,
Yorkshire Dales National Park Authority,03/12/2018,PCARD-2019/09,-7.21,BAKER ROSS,,Outreach,Materials,Y,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50005325651 09/2019,128.0,CRAVEN DISTRICT COUNCIL,S0014,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50006368798 09/2019,158.0,CRAVEN DISTRICT COUNCIL,S0014,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50006368751  09/2019,465.0,CRAVEN DISTRICT COUNCIL,S0014,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50006368742 09/2019,534.28,CRAVEN DISTRICT COUNCIL,S0014,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50006368760 09/2019,603.0,CRAVEN DISTRICT COUNCIL,S0014,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50005331156  09/2019,618.0,CRAVEN DISTRICT COUNCIL,S0014,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50006368789 09/2019,1179.36,CRAVEN DISTRICT COUNCIL,S0014,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50005323051 09/2019,2160.0,CRAVEN DISTRICT COUNCIL,S0014,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50002987959 09/2019,238.0,CRAVEN DISTRICT COUNCIL,S0014,Contracts - Access Rangers,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50002987959 10/2019,238.0,CRAVEN DISTRICT COUNCIL,S0014,Contracts - Access Rangers,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50005318857 09/2019,427.0,CRAVEN DISTRICT COUNCIL,S0014,Grassington NPC,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50005317557 09/2019,307.0,CRAVEN DISTRICT COUNCIL,S0014,Malham NPC,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50005317557 10/2019,307.0,CRAVEN DISTRICT COUNCIL,S0014,Malham NPC,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50005333756  09/2019,1440.0,CRAVEN DISTRICT COUNCIL,S0014,Office Accomodation,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 50006368742 09/2019,168.72,CRAVEN DISTRICT COUNCIL,S0014,Toilets,Rates,,,,
Yorkshire Dales National Park Authority,03/12/2018,CDC 500055322753 09/2019,254.0,CRAVEN DISTRICT COUNCIL,S0014,Toilets,Rates,,,,
