Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant,Unnamed: 12
Yorkshire Dales National Park Authority,01/02/2017,RDC N003069007 11/2017,407.6,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Car Parks,Rates,,,,,
Yorkshire Dales National Park Authority,01/02/2017,RDC N003069007 11/2017,1630.4,RICHMONDSHIRE DISTRICT COUNCIL - RATES DD,S3484,Dales Countryside Museum,Rates,,,,,
Yorkshire Dales National Park Authority,01/02/2017,PCARD-2017/11,53.79,INDEED IRELAND OPERATIONS LIMITED,,Corporate Other Staff Costs,Recruitment Costs,Y,,,,
Yorkshire Dales National Park Authority,02/02/2017,PCARD-2017/11,10.18,LYRECO,S1470,Support Services,Consumables,Y,,,,
Yorkshire Dales National Park Authority,02/02/2017,PCARD-2017/11,200.0,WEBAHEAD LIMITED,,Biodiversity,Contractors (Others),Y,,,,
Yorkshire Dales National Park Authority,02/02/2017,PCARD-2017/11,6.0,YDNPA,S4000,Contracts - Planned Maintenance Office,Materials,Y,,,,
Yorkshire Dales National Park Authority,02/02/2017,PCARD-2017/11,1.82,CRAFTSPLANET,,Dales Countryside Museum,Materials,Y,,,,
Yorkshire Dales National Park Authority,02/02/2017,PCARD-2017/11,38.1,GLOBAL LOCKING SYSTEMS LTD,,Planned Maintenance NPC's,Materials,Y,,,,
Yorkshire Dales National Park Authority,02/02/2017,PCARD-2017/11,1.07,TOY GALAXY LIMITED,,Dales Countryside Museum,Stationery,Y,,,,
Yorkshire Dales National Park Authority,02/02/2017,PCARD-2017/11,366.0,SETON UK,S0275,Contracts - Access Rangers,Tools & Office Equipment,Y,,,,
Yorkshire Dales National Park Authority,02/02/2017,PCARD-2017/11,81.23,DSG RETAIL LTD,S1440,Ranger Services,Tools & Office Equipment,Y,,,,
Yorkshire Dales National Park Authority,03/02/2017,PCARD-2017/11,15.22,J T ATKINSON & SONS LTD,S0045,Dales Countryside Museum,Consumables,Y,,,,
Yorkshire Dales National Park Authority,03/02/2017,PCARD-2017/11,52.05,SCREWFIX DIRECT,S0285,Dales Countryside Museum,Consumables,Y,,,,
Yorkshire Dales National Park Authority,03/02/2017,PCARD-2017/11,3.25,D&G BALTIC LTD,,Tourism,Materials,Y,,,,
Yorkshire Dales National Park Authority,06/02/2017,PCARD-2017/11,18.34,BRITISH TRUST FOR ORNITHOLOGY,,Biodiversity,Conferences and Seminars,Y,,,,
Yorkshire Dales National Park Authority,06/02/2017,PCARD-2017/11,26.46,MERRITT & FRYERS LTD,S0051,Toilets- Planned Maintenance,Materials,Y,,,,
Yorkshire Dales National Park Authority,06/02/2017,PCARD-2017/11,22.9,ECO-SOL LTD,,Tourism,Materials,Y,,,,
Yorkshire Dales National Park Authority,06/02/2017,PCARD-2017/11,3.99,PANAAZ FASHION LTD,,Car Parks,Mobile Phones,Y,,,,
Yorkshire Dales National Park Authority,06/02/2017,PCARD-2017/11,33.59,CARRS BILLINGTON AGRICULTURAL (SALES) LTD,S0140,Contracts - Access Rangers,Vehicle Repairs and Maint,Y,,,,
Yorkshire Dales National Park Authority,07/02/2017,PCARD-2017/11,8.33,MERRITT & FRYERS LTD,S0051,Contracts - Planned Maintenance DCM,Materials,Y,,,,
Yorkshire Dales National Park Authority,07/02/2017,PCARD-2017/11,14.18,JACS (KEIGHLEY) LTD,S1771,Contracts - Planned Maintenance Office,Materials,Y,,,,
Yorkshire Dales National Park Authority,07/02/2017,PCARD-2017/11,50.0,CARRS BILLINGTON AGRICULTURAL (SALES) LTD,S0140,Workshops,Materials,Y,,,,
Yorkshire Dales National Park Authority,08/02/2017,PCARD-2017/11,10.0,PARK INN YORK,,Employees,Parking,Y,,,,
Yorkshire Dales National Park Authority,08/02/2017,PCARD-2017/11,6.6,MY HERMES,,National Trails,Postage,Y,,,,
Yorkshire Dales National Park Authority,09/02/2017,PCARD-2017/11,81.64,LYRECO,S1470,Support Services,Catering (Internal),Y,,,,
Yorkshire Dales National Park Authority,09/02/2017,PCARD-2017/11,11.0,HSE BOOKS,S1614,Health & Safety,Health & Safety Equipment,Y,,,,
Yorkshire Dales National Park Authority,09/02/2017,PCARD-2017/11,24.07,SETON UK,S0275,Health & Safety,Health & Safety Equipment,Y,,,,
Yorkshire Dales National Park Authority,09/02/2017,PCARD-2017/11,15.88,MERRITT & FRYERS LTD,S0051,Contracts - Planned Maintenance Office,Materials,Y,,,,
Yorkshire Dales National Park Authority,09/02/2017,PCARD-2017/11,105.0,HARTLINGTON FENCING SUPPLIES,S0058,Lower Wensleydale,Materials,Y,,,,
Yorkshire Dales National Park Authority,09/02/2017,PCARD-2017/11,-11.35,AMAZON.CO.UK,S1426,Tourism,Materials,Y,,,,
Yorkshire Dales National Park Authority,09/02/2017,PCARD-2017/11,79.22,AMAZON.CO.UK,S1426,Access For All,Stationery,Y,,,,
Yorkshire Dales National Park Authority,09/02/2017,PCARD-2017/11,5.77,BANN STATIONERY CO,,Dales Countryside Museum,Stationery,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,January 17 TRANSACTIONS,305.85,BARCLAYS BANK,S3006,Retail Services O/H,Bank Charges,,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,48.31,MERRITT & FRYERS LTD,S0051,Contracts - Planned Maintenance Office,Materials,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,2.14,KIDS B CRAFTY,,Dales Countryside Museum,Materials,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,48.33,AMAZON.CO.UK,S1426,IT Development,Mobile Phones,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,194.88,AMAZON.CO.UK,S1426,IT Development,Mobile Phones,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PI127933,6.0,LAND REGISTRY - DD,S3091,Development Management,Research & Surveys,,,,,
Yorkshire Dales National Park Authority,10/02/2017,PI127933,6.0,LAND REGISTRY - DD,S3091,Development Management,Research & Surveys,,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,29.2,LYRECO,S1470,Access For All,Stationery,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,12.44,AMAZON.CO.UK,S1426,Dales Countryside Museum,Stationery,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,1.55,CKENT LTD,,Dales Countryside Museum,Stationery,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,4.48,STAR ONLINE STORE,,Dales Countryside Museum,Stationery,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,261.63,LYRECO,S1470,Support Services,Stationery,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,339.13,LYRECO,S1470,Support Services,Stationery,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PCARD-2017/11,18.9,AMAZON.CO.UK,S1426,IT Development,Telephone,Y,,,,
Yorkshire Dales National Park Authority,10/02/2017,PI127826,47.7,BRITISH TELECOM PLC,S0023,IT Development,Telephone,,,,,
Yorkshire Dales National Park Authority,10/02/2017,PC127918,-45.0,VENSON AUTOMOTIVE SOLUTIONS LTD - DD,S3089,Contracts - Access Rangers,Vehicle Running Costs,,,,,
Yorkshire Dales National Park Authority,11/02/2017,PCARD-2017/11,37.84,J T ATKINSON & SONS LTD,S0045,Workshops,Tools & Office Equipment,Y,,,,
Yorkshire Dales National Park Authority,13/02/2017,PCARD-2017/11,269.0,BRITISH RED CROSS SOCIETY,S0725,Training,Training,Y,,,,
