Body Name,Date,Transaction Number,Amount,Supplier Name,Supplier ID,Expense Area,Expense Type,Procurement Card?,Registration Number,Time Period for Grant,Purpose of Grant
Yorkshire Dales National Park Authority,01/10/2018,CDC 50002987959 07/2019,238.0,CRAVEN DISTRICT COUNCIL,S3485,Contracts - Access Rangers,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50005317557 07/2019,307.0,CRAVEN DISTRICT COUNCIL,S3485,Malham NPC,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50005318857 07/2019,427.0,CRAVEN DISTRICT COUNCIL,S3485,Grassington NPC,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50005323051 07/2019,2160.0,CRAVEN DISTRICT COUNCIL,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50005325651 07/2019,128.0,CRAVEN DISTRICT COUNCIL,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50005331156  07/2019,618.0,CRAVEN DISTRICT COUNCIL,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50005333756  07/2019,1440.0,CRAVEN DISTRICT COUNCIL,S3485,Office Accomodation,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 500055322753 07/2019,254.0,CRAVEN DISTRICT COUNCIL,S3485,Toilets,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50006368742 07/2019,534.28,CRAVEN DISTRICT COUNCIL,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50006368742 07/2019,168.72,CRAVEN DISTRICT COUNCIL,S3485,Toilets,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50006368751  07/2019,465.0,CRAVEN DISTRICT COUNCIL,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50006368760 07/2019,603.0,CRAVEN DISTRICT COUNCIL,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50006368789 07/2019,1179.36,CRAVEN DISTRICT COUNCIL,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50006368789 07/2019,332.64,CRAVEN DISTRICT COUNCIL,S3485,Toilets,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,CDC 50006368798 07/2019,158.0,CRAVEN DISTRICT COUNCIL,S3485,Car Parks,Rates,,,,
Yorkshire Dales National Park Authority,01/10/2018,RDC N003069007 07/2019,1048.2,RICHMONDSHIRE DISTRICT COUNCIL,S3484,Car Parks,Rates,,,,
