CountryName,CapitalName,CapitalLatitude,CapitalLongitude,CountryCode,ContinentName
Monaco,Monaco,43.733333333333334,7.416667,MC,Europe
Mongolia,Ulaanbaatar,47.916666666666664,106.916667,MN,Asia
Montenegro,Podgorica,42.43333333333333,19.266667,ME,Europe
Montserrat,Plymouth,16.7,-62.216667,MS,North America
Morocco,Rabat,34.016666666666666,-6.816667,MA,Africa
Mozambique,Maputo,-25.95,32.583333,MZ,Africa
Namibia,Windhoek,-22.566666666666666,17.083333,NA,Africa
Nepal,Kathmandu,27.716666666666665,85.316667,NP,Asia
Netherlands,Amsterdam,52.35,4.916667,NL,Europe
New Caledonia,Noumea,-22.266666666666666,166.450000,NC,Australia
New Zealand,Wellington,-41.3,174.783333,NZ,Australia
Nicaragua,Managua,12.133333333333333,-86.250000,NI,Central America
Niger,Niamey,13.516666666666667,2.116667,NE,Africa
Nigeria,Abuja,9.083333333333334,7.533333,NG,Africa
Niue,Alofi,-19.016666666666666,-169.916667,NU,Australia
Norfolk Island,Kingston,-29.05,167.966667,NF,Australia
Northern Mariana Islands,Saipan,15.2,145.750000,MP,Australia
Norway,Oslo,59.916666666666664,10.750000,NO,Europe
Oman,Muscat,23.616666666666667,58.583333,OM,Asia
Pakistan,Islamabad,33.68333333333333,73.050000,PK,Asia
Palau,Melekeok,7.483333333333333,134.633333,PW,Australia
Panama,Panama City,8.966666666666667,-79.533333,PA,Central America
Papua New Guinea,Port Moresby,-9.45,147.183333,PG,Australia
Paraguay,Asuncion,-25.266666666666666,-57.666667,PY,South America
Peru,Lima,-12.05,-77.050000,PE,South America
Philippines,Manila,14.6,120.966667,PH,Asia
Pitcairn Islands,Adamstown,-25.066666666666666,-130.083333,PN,Australia
Poland,Warsaw,52.25,21.000000,PL,Europe
Portugal,Lisbon,38.71666666666667,-9.133333,PT,Europe
