name,id,schema,name,aliases,birth_date,countries,addresses,identifiers,sanctions,phones,emails,dataset,first_seen,last_seen,last_change
Milan KRKOBABIC,Q15708342,Person,Milan KRKOBABIC,,,rs,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mirela KUMBARO FURXHI,Q15724978,Person,Mirela KUMBARO FURXHI,,,al,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Shahin MUSTAFAYEV,Q15734658,Person,Shahin MUSTAFAYEV,,,az,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ricardo CABRISAS Ruiz,Q15842341,Person,Ricardo CABRISAS Ruiz,,,cu,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Kamchybek TASHIEV,Q1584976,Person,Kamchybek TASHIEV,,,kg,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Zbigniew ZIOBRO,Q159472,Person,Zbigniew ZIOBRO,,,pl,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Stevo PENDAROVSKI,Q15967423,Person,Stevo PENDAROVSKI,,,mk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Murtaza Javed ABBASI,Q15983338,Person,Murtaza Javed ABBASI,,,pk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Christina EGELUND,Q16063559,Person,Christina EGELUND,,,dk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Aleksandar MARTINOVIC,Q16082138,Person,Aleksandar MARTINOVIC,,,rs,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Ahmad Awad BIN MUBARAK,Q16119688,Person,Ahmad Awad BIN MUBARAK,,,ye,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
January MAKAMBA,Q1612942,Person,January MAKAMBA,January Yusuf MAKAMBA,,tz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-09-21T12:01:52
Caroline ABEL,Q16161140,Person,Caroline ABEL,,,sc,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Bambang BRODJONEGORO,Q16169810,Person,Bambang BRODJONEGORO,,,id,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Subrahmanyam JAISHANKAR,Q16186720,Person,Subrahmanyam JAISHANKAR,,,in,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jose Amado RICARDO Guerra,Q16190513,Person,Jose Amado RICARDO Guerra,,,cu,,,,,,CIA World Leaders,2023-05-05T06:28:21,2023-12-04T21:58:26,2023-05-05T06:28:21
Samia Suluhu HASSAN,Q16193885,Person,Samia Suluhu HASSAN,,,tz,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Stergomena Lawrence TAX,Q16193890,Person,Stergomena Lawrence TAX,,,tz,,,,,,CIA World Leaders,2023-09-21T12:01:52,2023-12-04T21:58:26,2023-09-21T12:01:52
Bidya Devi BHANDARI,Q16193958,Person,Bidya Devi BHANDARI,,,np,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Muhammad Talha MAHMOOD,Q16194716,Person,Muhammad Talha MAHMOOD,,,pk,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Mahamat Idriss DEBY Itno,Q16206405,Person,Mahamat Idriss DEBY Itno,,,td,,,,,,CIA World Leaders,2023-04-20T09:50:23,2023-12-04T21:58:26,2023-04-20T09:50:23
Bhupender YADAV,Q16208337,Person,Bhupender YADAV,,,in,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Jyotiraditya SCINDIA,Q16213761,Person,Jyotiraditya SCINDIA,,,in,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Hojamyrat GELDIMYRADOW,Q1624201,Person,Hojamyrat GELDIMYRADOW,,,tm,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Anna-Kaisa IKONEN,Q16299288,Person,Anna-Kaisa IKONEN,,,fi,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Rodolfo Marco TORRES,Q16301804,Person,Rodolfo Marco TORRES,,,ve,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
Raquel SANCHEZ Jimenez,Q16302262,Person,Raquel SANCHEZ Jimenez,,,es,,,,,,CIA World Leaders,2023-08-16T06:02:46,2023-12-04T21:58:26,2023-08-16T06:02:46
