Name,iso3c,cowc,cown,wb,State,Name,Type,Twitter_personal,Twitter_institution,Facebook_personal,Facebook_institution,Twitter_personal_id,Twitter_institution_id,Facebook_personal_id,Facebook_institution_id
Hamid Karzai,AFG,AFG,700,AFG,Afghanistan,Hamid Karzai,President,KarzaiH,ARG_AFG,NA,204629649613285,2890477287,413756746,NA,204629649613285
Cristina Fernández de Kirchner,ARG,ARG,160,ARG,Argentina,Cristina Fernández de Kirchner,President,CFKArgentina,CasaRosadaAR,CFKArgentina,casarosadaargentina,138814032,153169998,115689108495633,279459698734791
Tigran Sargsyan,ARM,ARM,371,ARM,Armenia,Tigran Sargsyan,Prime Minister ,tigransargsyan,PresidentAM_arm,43211285887,NA,85282908,545885877,43211285887,NA
Elio Di Rupo,BEL,BEL,211,BEL,Belgium,Elio Di Rupo,Prime Minister ,eliodirupo,belgiumbe,elio.dirupo,Belgium.be,4808861,24145493,16301530829,102414209814612
Dean Barrow,BLZ,BLZ,80,BLZ,Belize,Dean Barrow,Prime Minister ,BarrowDean,belizegov,NA,GOBPressOffice,322849285,155932163,NA,149350998433745
Tshering Tobgay,BTN,BHU,760,BTN,Bhutan,Tshering Tobgay,Prime Minister ,tsheringtobgay,BhutanGov,tsheringtobgay,bhutan.gov.bt,37869117,2165101801,213963285282972,658688464161726
Evo Morales,BOL,BOL,145,BOL,Bolivia,Evo Morales,President,evomorales_bol,MindeGobierno,634277239999803,mingobierno,2841683823,2427864037,634277239999803,395976420455839
Ian Khama,BWA,BOT,571,BWA,Botswana,Ian Khama,President,Iankhama,BWGovernment,NA,148228411926492,61644926,316291124,NA,148228411926492
Dilma Rouseff,BRA,BRA,140,BRA,Brazil,Dilma Rouseff,President,dilmabr,portalbrasil,SiteDilmaRousseff,portalbrasil,131574396,87490448,351338968253034,448342938551601
Hassanal Bolkiah,BRN,BRU,835,BRN,Brunei,Hassanal Bolkiah,Sultan and Prime Minister,HassanalBolkia2,brunei_pmo,NA,bnpmo,2322232166,1120940742,NA,147688808616818
Pierre Nkurunziza,BDI,BUI,516,BDI,Burundi,Pierre Nkurunziza,President,PierreNkurunziz,BdiPresidence,NA,PresidenceBurundi,478038456,482242599,NA,160157920795418
Stephen Harper,CAN,CAN,20,CAN,Canada,Stephen Harper,Prime Minister ,pmharper,ServiceCanada_E,pmharper,NA,7401202,41353531,9106562109,NA
Juan Manuel Santos,COL,COL,100,COL,Colombia,Juan Manuel Santos,President,JuanManSantos,infopresidencia,JMSantos.Presidente,PresidenciadeColombia,64839766,312887235,330825443903,186850511364615
Laura Chinchilla,CRI,COS,94,CRI,Costa Rica,Laura Chinchilla,President,Laura_Ch,presidenciacr,Laura.Chinchilla.M,CasaPresidencial,18804414,144875363,44416736883,124162787610223
Nicos Anastasiades,CYP,CYP,352,CYP,Cyprus,Nicos Anastasiades,President,AnastasiadesCY,Cypresidency,NicosAnastasiades,NA,568981074,1165728211,107765889287008,NA
Bohuslav Sobotka,CZE,CZR,316,CZE,Czech Republic,Bohuslav Sobotka,Prime Minister ,SlavekSobotka,strakovka,sobotka.bohuslav,uradvlady,3107968048,164302135,103258375775,295551360389
Danilo Medina,DOM,DOM,42,DOM,Dominican Republic,Danilo Medina,President,DaniloMedina,PresidenciaRD,danilomedinasanchez,PresidenciaRD,35485571,132595055,47735348138,143634975724835
