Player Names,Matches_Played,Mins,Goals,Year
Juanmi Callejon,19,1849,11,2016
Antoine Griezmann,36,3129,16,2016
Luis Suarez,34,2940,28,2016
Ruben Castro,32,2842,13,2016
Kevin Gameiro,21,1745,13,2016
Cristiano Ronaldo,29,2634,25,2016
Karim Benzema,23,1967,11,2016
Neymar ,30,2694,13,2016
Iago Aspas,25,2354,19,2016
Sergi Enrich,31,2904,11,2016
Aduriz ,27,2480,16,2016
Sandro Ramlrez,28,2340,14,2016
Lionel Messi,32,2910,37,2016
Gerard Moreno,37,3361,13,2016
Morata,14,1392,15,2016
Wissam Ben Yedder,20,1735,11,2016
Willian Jose,27,2102,12,2016
Andone ,32,2984,12,2016
Cedric Bakambu,17,1633,10,2016
Isco,18,1690,10,2016
Mohamed Salah,29,2567,15,2016
Gregoire Defrel,23,2054,12,2016
Ciro Immobile,35,3294,22,2016
Nikola Kalinic,26,2648,15,2016
Dries Mertens,28,2671,28,2016
Alejandro Gomez,37,3247,16,2016
Jose CallejOn,37,3276,14,2016
Iago Falque,31,2633,12,2016
Giovanni Simeone,29,2764,12,2016
Mauro Icardi,34,3188,24,2016
Diego Falcinelli,35,3308,13,2016
Cyril Thereau,31,2585,12,2016
Edin Dzeko,33,3194,29,2016
Lorenzo Insigne,35,3031,18,2016
Fabio Quagliarella,35,3030,12,2016
Borriello ,30,2737,16,2016
Carlos Bacca,26,2228,13,2016
Gonzalo Higuain,32,3138,24,2016
Keita Balde,21,2033,16,2016
Andrea Belotti,34,3241,26,2016
Fin Bartels,23,2315,8,2016
Lars Stindl,29,2673,11,2016
Serge Gnabry,23,2028,11,2016
Wagner ,30,2695,11,2016
Andrej Kramaric,28,2449,15,2016
Florian Niederlechner,29,2477,11,2016
Robert Lewandowski,31,2871,30,2016
Emil Forsberg,27,2420,8,2016
Timo Werner,28,2496,21,2016
Nils Petersen,7,1351,10,2016
Vedad Ibisevic,32,2772,12,2016
Mario Gomez,32,2950,16,2016
Maximilian Philipp,23,2000,9,2016
Adam Szalai,7,833,8,2016
Pierre-Emerick Aubameyang,31,2894,31,2016
Guido Burgstaller,17,1494,9,2016
Max Kruse,23,2121,15,2016
Chicharito ,20,1895,11,2016
Anthony Modeste,34,3075,25,2016
Arjen Robben,21,1882,13,2016
Alexis Sanchez,36,3385,24,2016
Romelu Lukaku,36,3448,25,2016
Harry Kane,29,2636,29,2016
Jamie Vardy,33,2938,13,2016
Christian Benteke,36,3299,15,2016
Pedro None,26,2250,10,2016
Eden Hazard,36,3101,16,2016
Roberto Firmino,34,3228,11,2016
Sadio Mane,26,2347,13,2016
Philippe Coutinho,28,2327,13,2016
Diego Costa,35,3232,20,2016
Dele Alli,35,3182,18,2016
Sergio Aguero,25,2444,21,2016
Jermain Defoe,37,3511,15,2016
Fernando Llorente,28,2562,15,2016
Michail Antonio,29,2493,11,2016
Zlatan Ibrahimovic,27,2578,17,2016
Olivier Giroud,11,1311,12,2016
Son Heung-Min,23,2174,14,2016
Joshua King,31,2856,16,2016
Diego Souza,34,2981,14,2016
Pablo ,30,2757,9,2016
Robinho ,26,2234,12,2016
Kempes ,19,1684,9,2016
Gabriel Jesus,26,2448,12,2016
Bruno Rangel ,19,2016,10,2016
Rogerio ,22,2051,9,2016
Vitor Bueno,32,2670,10,2016
Marinho ,27,2360,12,2016
Grafite ,29,2511,13,2016
Andres Chavez,19,1786,9,2016
Cicero Semedo,35,3322,9,2016
Sassa,13,1412,12,2016
Giorgian de Arrascaeta,30,2423,9,2016
Keno ,32,3093,10,2016
Fred ,33,2821,14,2016
Kleber Gladiador,23,2143,9,2016
Pottker ,19,2007,14,2016
Jonathan Copete,22,2147,10,2016
Ricardo Oliveira,20,1834,11,2016
Angel Rodriguez,26,2390,13,2017
Antoine Griezmann,30,2596,19,2017
Iago Aspas,33,3053,22,2017
Gareth Bale,20,1872,16,2017
Rodrigo None,31,2770,16,2017
Luis Suarez,32,3008,25,2017
Sergio Leon,23,2071,11,2017
Lionel Messi,32,3123,33,2017
Maxi Gomez,35,3168,18,2017
Mikel Oyarzabal,31,2864,12,2017
Willian Josa,32,2869,15,2017
Simone Zaza,23,2163,13,2017
Cristiano Ronaldo,27,2375,26,2017
Portu ,35,3081,11,2017
Gerard Moreno,38,3555,16,2017
Cristhian Stuani,32,2785,21,2017
Carlos Bacca,30,2572,15,2017
Santi Mina,17,1630,12,2017
Morales ,35,3180,10,2017
Munir ,28,2517,10,2017
Jose Callejon,38,3359,10,2017
Sergej Milinkovic-Savic,33,3014,12,2017
Duvan Zapata,24,2229,11,2017
Paulo Dybala,26,2407,22,2017
Gonzalo Higuain,32,2935,16,2017
Mirco Antenucci,28,2735,11,2017
Fabio Quagliarella,33,2864,19,2017
Luis Alberto,32,2797,11,2017
Roberto Inglese,33,2914,12,2017
Andrea Belotti,29,2854,10,2017
Josip Ilicic,21,2115,11,2017
Giovanni Simeone,36,3157,14,2017
Ivan Perisic,37,3491,11,2017
Edin Dzeko,33,3177,16,2017
Leonardo Pavoletti,31,2897,11,2017
Ciro Immobile,33,2799,29,2017
Dries Mertens,35,3133,18,2017
Mauro Icardi,34,3096,29,2017
Kevin Lasagna,26,2244,12,2017
Iago Falque,34,2950,12,2017
Robert Lewandowski,24,2247,29,2017
Niclas Fullkrug,26,2507,14,2017
Guido Burgstaller,24,2447,11,2017
Salomon Kalou,27,2272,12,2017
Thorgan Hazard,33,3062,10,2017
Jean-Kevin Augustin,14,1330,9,2017
Serge Gnabry,20,1555,10,2017
Andrej Kramaric,22,2353,13,2017
Nils Petersen,24,2362,15,2017
Sandro Wagner ,18,1666,12,2017
Timo Werner,28,2596,13,2017
Leon Bailey,25,2317,9,2017
Daniel Didavi,26,2312,9,2017
Alfred Finnbogason,22,1879,12,2017
Davie Selke,19,1974,10,2017
Mark Uth,24,2279,14,2017
Michael Gregoritsch,30,2626,13,2017
Julian Brandt,26,2419,9,2017
Kevin Volland,30,2693,14,2017
Pierre-Emerick Aubameyang,16,1480,13,2017
Roger ,19,1465,11,2017
Arthur Caike,34,2824,8,2017
Everton ,14,1224,8,2017
Hernanes ,19,1222,9,2017
Luiz Fernando,21,1792,9,2017
Wellington Paulista,30,2278,9,2017
Fred ,27,1865,12,2017
Santiago Trellez,23,1694,10,2017
Jo,34,2847,18,2017
Thiago Neves,30,2383,9,2017
Bruno Henrique,28,2136,8,2017
Dudu ,23,1751,10,2017
Diego ,24,2089,10,2017
Diego Souza,26,1953,11,2017
Lucca ,37,2933,13,2017
Henrique Dourado,32,2472,19,2017
Andre,35,2931,16,2017
Edigar Junio ,21,1547,12,2017
Junior  Dutra,27,2022,9,2017
Luiz Fernando,21,1769,9,2017
Karim Benzema,35,3072,21,2018
Maxi Gomez,33,3148,13,2018
Iago Aspas,26,2369,20,2018
Jaime Mata,27,2569,14,2018
Inaki Williams,36,3148,12,2018
Cristhian Stuani,30,2897,19,2018
Chimy Avila,20,2131,10,2018
Raul de Tomas,32,2964,14,2018
Luis Suarez,31,2954,21,2018
Roger ,23,1999,13,2018
Willian Jose,28,2471,12,2018
Pablo Sarabia,30,2877,13,2018
Mikel Oyarzabal,36,3300,13,2018
Antoine Griezmann,37,3349,15,2018
Borja Iglesias,35,3246,17,2018
Lionel Messi,29,2849,36,2018
Jorge Molina,28,2819,14,2018
Charles,17,1861,14,2018
Wissam Ben Yedder,31,2975,18,2018
Morales ,35,3381,12,2018
Arkadiusz Milik,27,2560,17,2018
Duvan Zapata,32,3064,23,2018
Lorenzo Insigne,24,2191,10,2018
Cristiano Ronaldo,30,2857,21,2018
Ciro Immobile,31,3046,15,2018
Andrea Belotti,37,3533,15,2018
Fabio Quagliarella,37,3269,26,2018
Mandzukic None,23,2125,9,2018
Edin Dzeko,28,2741,9,2018
Andrea Petagna,35,3196,16,2018
Roberto Inglese,23,2075,9,2018
Josip Ilicic,23,2262,12,2018
Francesco Caputo,38,3641,16,2018
Leonardo Pavoletti,31,2903,16,2018
Gregoire Defrel,26,2388,11,2018
Dries Mertens,23,2416,16,2018
Stephan El Shaarawy,23,2213,11,2018
Gervinho ,27,2430,11,2018
Mauro Icardi,24,2314,11,2018
Krzysztof Piatek,34,3147,23,2018
Andrej Kramaric,28,2527,16,2018
Alassane Plea,28,2613,12,2018
Kai Havertz,33,3033,16,2018
Luka Jovic,25,2353,17,2018
Ante Rebic,23,2075,11,2018
Jadon Sancho,26,2602,13,2018
Alfred Finnbogason,17,1385,10,2018
Ondrej Duda,30,2661,11,2018
Paco Alcacer,11,1312,18,2018
Timo Werner,29,2582,16,2018
