,name,year,city,zipCode,cuisine,price
0,Kilian Stuba,2019,Kleinwalsertal,87568,Creative,$$$$$
1,Pfefferschiff,2019,Hallwang,5300,Classic cuisine,$$$$$
2,Esszimmer,2019,Salzburg,5020,Creative,$$$$$
3,Carpe Diem,2019,Salzburg,5020,Market cuisine,$$$$$
4,Edvard,2019,Wien,1010,Modern cuisine,$$$$
5,Das Loft,2019,Wien,1020,Modern cuisine,$$$$$
6,Pramerl & the Wolf,2019,Wien,1090,Creative,$$$$$
7,Walter Bauer,2019,Wien,1010,Classic cuisine,$$$$$
8,SHIKI,2019,Wien,1010,Japanese,$$$$$
9,Tian,2019,Wien,1010,Vegetarian,$$$$$
10,aend,2019,Wien,1010,Modern cuisine,$$$$$
11,Le Ciel by Toni Mörwald,2019,Wien,1010,Classic cuisine,$$$$$
12,Chez TJ,2019,South San Francisco,94041,Contemporary,$$$$
13,Protégé,2019,South San Francisco,94301,Contemporary,$$$
14,Madera,2019,San Francisco,94025,Contemporary,$$$
15,The Village Pub,2019,San Francisco,94062,Contemporary,$$$
16,Plumed Horse,2019,South San Francisco,95070,Contemporary,$$$$
17,Wakuriya,2019,San Francisco,94402,Japanese,$$$$
18,Sushi Yoshizumi,2019,San Francisco,94401,Japanese,$$$$
19,Rasa,2019,San Francisco,94010,Indian,$$
20,Maum,2019,South San Francisco,94101,Korean,$$$$
21,Al's Place,2019,San Francisco,94110,Californian,$$
22,Aster,2019,San Francisco,94110,Californian,$$$
23,Omakase,2019,San Francisco,94103,Japanese,$$$$
24,Commonwealth,2019,San Francisco,94110,Contemporary,$$
25,Luce,2019,San Francisco,94103,Contemporary,$$$
26,Birdsong,2019,San Francisco,94101,American,$$$$
27,In Situ,2019,San Francisco,94103,International,$$$$
28,Mourad,2019,San Francisco,94105,Moroccan,$$$
29,Hashiri,2019,San Francisco,94103,Japanese,$$$$
30,Angler,2019,San Francisco,94101,Contemporary,$$$$
