,name,year,city,zipCode,cuisine,price
0,Amador,2019,Wien,1190,Creative,$$$$$
1,Manresa,2019,South San Francisco,95030,Contemporary,$$$$
2,Benu,2019,San Francisco,94105,Asian,$$$$
3,Quince,2019,San Francisco,94133,Contemporary,$$$$
4,Atelier Crenn,2019,San Francisco,94123,Contemporary,$$$$
5,The French Laundry,2019,San Francisco,94599,Contemporary,$$$$
6,The Restaurant at Meadowood,2019,San Francisco,94574,Contemporary,$$$$
7,SingleThread,2019,San Francisco,95448,Contemporary,$$$$
8,Alinea,2019,Chicago,60614,Contemporary,$$$$
9,Geranium,2019,København,2100 Ø,Creative,$$$$
10,T'ang Court,2019,Hong Kong,,Cantonese,$$$
11,Bo Innovation,2019,Hong Kong,,Innovative,$$$$$
12,Lung King Heen,2019,Hong Kong,,Cantonese,$$$$
13,Caprice,2019,Hong Kong,,French,$$$$
14,8½ Otto e Mezzo - Bombana,2019,Hong Kong,,Italian,$$$$
15,L'Atelier de Joël Robuchon,2019,Hong Kong,,French contemporary,$$$$
16,Sushi Shikon,2019,Hong Kong,,Sushi,$$$$$
17,The Eight,2019,Macau,,Chinese,$$$
18,Robuchon au Dôme,2019,Macau,,French contemporary,$$$$
19,Jade Dragon,2019,Macau,,Cantonese,$$
20,Maaemo,2019,Oslo,0191,Modern cuisine,$$$$
21,Masa,2019,New York,10019,Japanese,$$$$
22,Per Se,2019,New York,10019,Contemporary,$$$$
23,Le Bernardin,2019,New York,10019,Seafood,$$$$
24,Eleven Madison Park,2019,New York,10010,Contemporary,$$$$
25,Chef's Table at Brooklyn Fare,2019,New York,10018,Contemporary,$$$$
26,La Yeon,2019,Seoul,,Korean,$$$$
27,Gaon,2019,Seoul,,Korean,$$$$$
28,Frantzén,2019,Stockholm,111 22,Modern cuisine,$$$$
29,Le Palais,2019,Taipei,110,Cantonese,$$
30,The Inn at Little Washington,2019,"Washington, D.C.",22747,American,$$$$
31,Fat Duck,2019,Bray,SL6 2AQ,Creative,
32,Waterside Inn,2019,Bray,SL6 2AT,Classic French,
33,Alain Ducasse at The Dorchester,2019,Mayfair,W1K 1QA,French,
34,The Araki,2019,Mayfair,W1S 3BF,Japanese,
35,Gordon Ramsay,2019,Chelsea,SW3 4HP,French,
