name,rank,Assoc,height_m,year_built,city
Burj Khalifa,1,,828.0,2010,Dubai
Merdeka 118,2,,678.9,2022,Kuala Lumpur
Shanghai Tower,3,,632.0,2015,Shanghai
Abraj Al-Bait Clock Tower,4,,601.0,2012,Mecca
Ping An International Finance Centre,5,,599.1,2017,Shenzhen
Lotte World Tower,6,,554.5,2017,Seoul
One World Trade Center,7,,541.3,2014,New York City
Guangzhou CTF Finance Centre,8,,530.0,2016,Guangzhou
Tianjin CTF Finance Centre,9,,530.0,2019,Tianjin
China Zun,10,,527.7,2018,Beijing
Taipei 101,11,,508.0,2004,Taipei
Shanghai World Financial Center,12,,492.0,2008,Shanghai
International Commerce Centre,13,,484.0,2010,Hong Kong
Wuhan Greenland Center,14,,475.6,2022,Wuhan
Central Park Tower,15,,472.4,2020,New York City
Lakhta Center,16,,462.0,2019,Saint Petersburg
Landmark 81,17,,461.2,2018,Ho Chi Minh City
Changsha IFS Tower T1,18,,452.1,2018,Changsha
Petronas Tower 1,19,,451.9,1998,Kuala Lumpur
Petronas Tower 2,20,,451.9,1998,Kuala Lumpur
Zifeng Tower,21,,450.0,2010,Nanjing
Suzhou IFS,22,,450.0,2019,Suzhou
The Exchange 106,23,,445.5,2019,Kuala Lumpur
Wuhan Center,24,,443.1,2019,Wuhan
Willis Tower,25,,442.1,1974,Chicago
KK100,26,,441.8,2011,Shenzhen
Guangzhou International Finance Center,27,,438.6,2010,Guangzhou
111 West 57th Street,28,,435.3,2021,New York City
One Vanderbilt,29,,427.0,2020,New York City
Dongguan International Trade Center 1,30,,426.9,2021,Dongguan
432 Park Avenue,31,,425.7,2015,New York City
Marina 101,32,,425.0,2017,Dubai
Trump International Hotel and Tower,33,,423.2,2009,Chicago
Jin Mao Tower,34,,420.5,1999,Shanghai
Princess Tower,35,,413.4,2012,Dubai
Al Hamra Tower,36,,412.6,2011,Kuwait City
Two International Finance Centre,37,,412.0,2003,Hong Kong
Haeundae LCT The Sharp Landmark Tower,38,,411.6,2019,Busan
Guangxi China Resources Tower,39,,402.7,2020,Nanning
Guiyang International Financial Center T1,40,,401.0,2020,Guiyang
China Resources Headquarters,41,,392.5,2018,Shenzhen
23 Marina,42,,392.4,2012,Dubai
CITIC Plaza,43,,390.2,1996,Guangzhou
Shum Yip Upperhills Tower 1,44,,388.1,2020,Shenzhen
30 Hudson Yards,45,,387.1,2019,New York City
Capital Market Authority Tower,46,,385.0,2021,Riyadh
Iconic Tower,47,,385.0,2022,Cairo
Shun Hing Square,48,,384.0,1996,Shenzhen
Eton Place Dalian Tower 1,49,,383.2,2016,Dalian
Logan Century Center 1,50,,381.3,2018,Nanning
Burj Mohammed bin Rashid,51,,381.2,2014,Abu Dhabi
Empire State Building,52,,381.0,1931,New York City
Elite Residence,53,,380.5,2012,Dubai
Riverview Plaza,54,,376.0,2021,Wuhan
Shenzhen Center,55,,375.6,2021,Shenzhen
Central Plaza,56,,373.9,1992,Hong Kong
Federation Tower (East Tower),57,,373.7,2016,Moscow
Dalian International Trade Center,58,,370.2,2019,Dalian
Address Boulevard,59,,370.0,2017,Dubai
Haitian Center Tower 2,60,,368.9,2021,Qingdao
Golden Eagle Tiandi Tower A,61,,368.1,2019,Nanjing
Bank of China Tower,62,,367.0,1990,Hong Kong
Bank of America Tower,63,,365.8,2009,New York City
St. Regis Chicago,64,,362.9,2020,Chicago
Almas Tower,65,,360.0,2008,Dubai
Hanking Center,66,,358.9,2018,Shenzhen
Greenland Group Suzhou Center,67,,358.0,2022,Suzhou
Gevora Hotel,68,,356.3,2017,Dubai
JW Marriott Marquis Dubai Tower 1,69,,355.4,2012,Dubai
JW Marriott Marquis Dubai Tower 2,70,,355.4,2013,Dubai
Emirates Office Tower,71,,354.6,2000,Dubai
Raffles City Chongqing T3N,72,,354.5,2019,Chongqing
Raffles City Chongqing T4N,73,,354.5,2019,Chongqing
OKO Tower � South Tower,74,,354.2,2015,Moscow
The Marina Torch,75,,352.0,2011,Dubai
Forum 66 Tower 1,76,,350.6,2015,Shenyang
The Pinnacle,77,,350.3,2012,Guangzhou
Xi'an Glory International Financial Center,78,,350.0,2021,Xi'an
