name,price,year,state
toyota cruiser,6300,2008,new jersey
ford se,2899,2011,tennessee
dodge mpv,5350,2018,georgia
ford door,25000,2014,virginia
chevrolet 1500,27700,2018,florida
dodge mpv,5700,2018,texas
chevrolet pk,7300,2010,georgia
gmc door,13350,2017,california
chevrolet malibu,14600,2018,florida
ford mpv,5250,2017,texas
dodge coupe,10400,2009,georgia
gmc mpv,12920,2017,california
chevrolet 1500,31900,2018,tennessee
chrysler wagon,5430,2017,texas
ford door,20700,2013,virginia
gmc door,12710,2017,california
kia forte,5200,2018,north carolina
buick encore,16500,2018,tennessee
ford mpv,5210,2017,texas
ford door,38100,2013,virginia
gmc door,12520,2017,california
kia forte,7300,2018,north carolina
chevrolet door,15000,2015,ohio
ford mpv,6180,2017,texas
ford door,20800,2013,virginia
gmc door,11900,2017,california
kia sorento,21500,2020,north carolina
buick door,12000,2014,ohio
ford doors,4190,2017,texas
ford chassis,13000,2008,tennessee
gmc door,12710,2017,california
infiniti q70,18500,2016,new york
chevrolet camaro,29800,1973,pennsylvania
ford mpv,5330,2017,texas
ford convertible,13000,2003,virginia
gmc door,11900,2017,california
mercedes-benz vans,16600,2016,new york
chevrolet 1500,19200,2018,tennessee
ford mpv,7320,2017,texas
ford pk,7000,2003,tennessee
gmc door,12710,2017,california
mercedes-benz vans,16600,2016,new york
chevrolet 1500,30500,2018,tennessee
ford mpv,6330,2017,texas
ford srw,55000,2017,pennsylvania
gmc door,12520,2017,california
jeep compass,16200,2019,north carolina
chevrolet malibu,19000,2017,tennessee
dodge mpv,5580,2017,texas
ford srw,54000,2017,pennsylvania
gmc mpv,12710,2017,california
jeep compass,16000,2019,north carolina
buick enclave,27000,2017,tennessee
ford mpv,7760,2017,texas
chrysler 300,19600,2019,south carolina
gmc mpv,12920,2017,california
jeep cherokee,20000,2019,north carolina
buick door,18100,2017,florida
chrysler pacifica,23000,2020,ohio
chrysler 300,18500,2019,south carolina
gmc door,13490,2017,california
jeep cherokee,20700,2019,north carolina
chevrolet door,17800,2017,florida
ford door,6650,2017,texas
chrysler pacifica,29100,2019,south carolina
gmc door,12710,2017,california
jeep cherokee,21100,2019,north carolina
chevrolet door,18600,2017,florida
ford door,4340,2017,texas
chrysler 300,19300,2019,south carolina
gmc door,12780,2017,california
jeep compass,15800,2019,north carolina
bmw x3,29400,2017,tennessee
ford door,4430,2017,texas
chrysler 300,19400,2019,south carolina
gmc door,12520,2017,california
jeep compass,15900,2019,north carolina
buick door,26400,2017,florida
ford door,4140,2017,texas
chrysler 300,18300,2019,south carolina
gmc door,12520,2017,california
jeep compass,17900,2019,north carolina
chevrolet camaro,18300,2017,florida
ford door,4640,2017,texas
ford door,24000,2016,pennsylvania
gmc door,13200,2017,california
jeep compass,18000,2019,north carolina
chevrolet equinox,14900,2017,florida
ford door,4140,2017,texas
ford door,11500,2016,pennsylvania
ford door,9110,2017,texas
chrysler door,7350,2015,pennsylvania
bmw door,24500,2017,michigan
ford door,9300,2017,texas
dodge challenger,39800,2015,pennsylvania
bmw m,53500,2017,michigan
ford door,15110,2017,texas
ford door,34000,2015,pennsylvania
chevrolet colorado,26502,2017,michigan
ford mpv,5990,2017,texas
ford focus,13600,2018,south carolina
cadillac door,23605,2017,michigan
ford mpv,10780,2017,texas
ford focus,13800,2018,south carolina
cadillac door,25201,2017,michigan
ford mpv,7070,2017,texas
ford focus,8700,2018,south carolina
chevrolet malibu,18003,2017,michigan
ford door,8530,2017,texas
dodge durango,23100,2018,south carolina
cadillac door,24500,2017,michigan
ford mpv,7000,2017,texas
ford escape,17000,2018,south carolina
chevrolet 1500,34002,2017,michigan
ford mpv,6980,2017,texas
dodge charger,25000,2018,michigan
chevrolet colorado,20802,2017,michigan
ford door,9200,2017,texas
chrysler pacifica,26500,2017,michigan
chevrolet colorado,24802,2017,michigan
ford mpv,7070,2017,texas
ford door,28500,2017,south carolina
cadillac door,47500,2017,michigan
ford explorer,23500,2017,south carolina
chevrolet colorado,23505,2017,michigan
ford door,10940,2017,texas
ford f-150,32100,2017,south carolina
chevrolet 3500,53000,2018,washington
ford mpv,6830,2017,texas
dodge caravan,11900,2017,south carolina
chevrolet 1500,26414,2017,michigan
dodge mpv,4160,2018,florida
chevrolet door,19405,2017,michigan
dodge mpv,5690,2018,florida
chrysler van,25900,2017,south carolina
chevrolet 1500,24005,2017,michigan
dodge mpv,5090,2018,florida
chrysler 300,19500,2017,arizona
