animal_name,hair,feathers,eggs,milk,airborne,predator,toothed,backbone,breathes,venomous,legs,domestic
anta,1,0,0,1,0,0,1,1,1,0,4,0
ariranha,1,0,0,1,0,1,1,1,1,0,4,0
boto-cor-de-rosa,0,0,0,1,0,1,1,1,1,0,0,0
bugio,1,0,0,1,0,0,1,1,1,0,4,0
cachorro-vinagre,1,0,0,1,0,1,1,1,1,0,4,0
chimpanze,1,0,0,1,0,1,1,1,1,0,4,1
gato-maracaja,1,0,0,1,0,1,1,1,1,0,4,0
jaguatirica,1,0,0,1,0,1,1,1,1,0,4,0
lobo-guara,1,0,0,1,0,1,1,1,1,0,4,0
macaco-aranha,1,0,0,1,0,0,1,1,1,0,4,0
macaco-barrigudo,1,0,0,1,0,0,1,1,1,0,4,0
mico-leao-dourado,1,0,0,1,0,0,1,1,1,0,4,1
mono-carvoeiro,1,0,0,1,0,0,1,1,1,0,4,0
onca-pintada,1,0,0,1,0,1,1,1,1,0,4,0
orangotango,1,0,0,1,0,0,1,1,1,0,4,1
peixe-boi,1,0,0,1,0,0,1,1,1,0,2,0
queixada,1,0,0,1,0,1,1,1,1,0,4,0
tamandua-bandeira,1,0,0,1,0,0,0,1,1,0,4,0
urso-de-oculos,1,0,0,1,0,1,1,1,1,0,4,0
aguia-cinzenta,0,1,1,0,1,1,0,1,1,0,2,0
aracari-banana,0,1,1,0,1,0,0,1,1,0,2,0
arara-azul,0,1,1,0,1,0,0,1,1,0,2,0
arara-caninde,0,1,1,0,1,0,0,1,1,0,2,0
chaua,0,1,1,0,1,0,0,1,1,0,2,1
ema,0,1,1,0,0,0,0,1,1,0,2,0
gaviao-pombo,0,1,1,0,1,1,0,1,1,0,2,0
guara,0,1,1,0,1,0,0,1,1,0,2,0
harpia,0,1,1,0,1,1,0,1,1,0,2,0
jacurutu,0,1,1,0,1,1,0,1,1,0,2,0
jacutinga,0,1,1,0,1,0,0,1,1,0,2,0
jandaia-amarela,0,1,1,0,1,0,0,1,1,0,2,0
macuco,0,1,1,0,0,0,0,1,1,0,2,0
murucututu,0,1,1,0,1,1,0,1,1,0,2,0
mutum,0,1,1,0,0,0,0,1,1,0,2,0
papagaio-de-cara-roxa,0,1,1,0,1,0,0,1,1,0,2,1
pato-de-crista,0,1,1,0,1,0,0,1,1,0,2,0
pavo,0,1,1,0,1,0,0,1,1,0,2,0
tucano-de-bico-preto,0,1,1,0,1,0,0,1,1,0,2,0
urubu-rei,0,1,1,0,1,1,0,1,1,0,2,0
cobra-cipo,0,0,1,0,0,1,1,1,1,0,0,0
jabuti,0,0,1,0,0,0,0,1,1,0,4,1
jacare-coroa,0,0,1,0,0,1,1,1,1,0,4,0
jararaca-ilhoa,0,0,1,0,0,1,1,1,1,1,0,0
jiboia,0,0,1,0,0,1,1,1,1,0,0,0
sucuri,0,0,1,0,0,1,1,1,1,0,0,0
tracaja,0,0,1,0,0,0,0,1,1,0,4,1
urutu-cruzeiro,0,0,1,0,0,1,1,1,1,1,0,0
baiacu,0,0,1,0,0,0,1,1,0,1,0,0
cascudinho-de-caverna,0,0,1,0,0,0,1,1,0,0,0,1
lambari,0,0,1,0,0,0,1,1,0,0,0,1
matrinxa,0,0,1,0,0,1,1,1,0,0,0,0
pirarucu,0,0,1,0,0,1,1,1,1,0,0,0
raia-chita,0,0,1,0,0,1,1,1,0,1,0,0
tambaqui,0,0,1,0,0,0,1,1,0,0,0,0
tubarao-raposa,0,0,1,0,0,1,1,1,0,0,0,0
perereca-de-alcatrazes,0,0,1,0,0,0,0,1,1,0,4,0
ra-flecha-azul,0,0,1,0,0,0,0,1,1,1,4,0
ra-pimenta,0,0,1,0,0,0,0,1,1,0,4,0
sapo-barriga-de-fogo,0,0,1,0,0,0,0,1,1,0,4,1
sapo-cururu,0,0,1,0,0,1,1,1,1,1,4,0
sapo-de-chifre,0,0,1,0,0,1,1,1,1,0,4,0
abelha,1,0,1,0,1,0,0,0,1,1,6,0
joaninha,0,0,1,0,1,0,0,0,1,0,6,0
mariposa,1,0,1,0,1,0,0,0,1,0,6,0
pirilampo,0,0,1,0,1,0,0,0,1,0,6,0
vespa,0,0,1,0,1,1,0,0,1,1,6,0
bicho-pau,0,0,1,0,0,0,0,0,1,0,6,0
caracol-da-mata-atlantica,0,0,1,0,0,0,0,0,1,0,0,0
caranguejeira,1,0,1,0,0,1,0,0,1,1,8,0
sauva-limao,1,0,1,0,0,1,0,0,1,1,6,0
